#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                    
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4360.649312962668    All      -1.1402754793668417        0.7943026166730149        -0.1416037453508997        0.6238366068165418       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6234.588241688791    All      1.2362273396353858         -0.2913299226475097       -0.09643590381336843       -0.5018791469398459      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7590.551047586079    All      0.43486568466310394        -0.10883931222025467      0.1389005985998326         -0.1709041090798637      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5398.380772542819    All      0.4666351932056201         0.6045591557500174        0.09974341361231784        0.04937746260888756      
Check         All|All|All                                All                  All      0.9974527381372682         0.998692537555268         0.0006043630478823059      0.0004308134057197932    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4360.649312962668    All      -0.0008651326061979259     0.0007192484080975741     -0.0005200211015587579     0.0004928788675511238    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6234.588241688791    All      -0.00033017264556256624    2.3520720652719067e-05    -0.0005292036717531573     9.159363621664584e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7590.551047586079    All      -9.219379271113251e-05     8.531897786993394e-06     -0.00010215526149496687    2.825095103365324e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5398.380772542819    All      9.950404067661574e-05      0.00037517331220976934    -0.0012730342909585397     3.298487741753539e-05    
MWEBV         All|All|All                                All                  All      -0.8848511865764501        -4.082330467488315        0.023314439518125632       -1.0404837793804176      
Redshift      All|All|All                                All                  All      7.237211885006323          -3.306500409485391        4.624845885046964          -3.2280483414463457      
