#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4360.649312962668    All      -1.0559667042195462        0.748975198859192         -0.001980146880387057      0.5878405937967834        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6234.588241688791    All      1.306573647993289          -0.29838842014857647      -0.15721415932614669       -0.5298046931496898       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7590.551047586079    All      0.5024889422604504         -0.2033480570546864       0.10545791898130541        -0.22520822945104169      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5398.380772542819    All      0.24301177140807861        0.7507811806521936        0.05111394524922597        0.16767818232679446       
Check         All|All|All                                All                  All      0.9961076574422719         0.9980199023081227        -0.0026224419760023654     0.0005058535228464056     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4360.649312962668    All      -0.0007044284077053502     0.0005625597031950569     -0.00031739287973104685    0.00039853592390138556    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6234.588241688791    All      -0.0003497347723366518     0.00010047895040602318    -0.0003605382673563967     0.0001305602541090712     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7590.551047586079    All      -0.00012119172182915449    1.3846209309163652e-05    -0.00015965678412911683    3.6861547789130013e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5398.380772542819    All      -2.08748390581279e-05      0.00041098147359445157    -0.0013021345151810536     8.256152575660427e-05     
MWEBV         All|All|All                                All                  All      -0.8632433130326409        -4.096090429414367        0.04165915052093405        -1.0511856067623317       
Redshift      All|All|All                                All                  All      7.7038452926638605         -3.510811032282035        4.410207918937409          -3.456175192199176        
