#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7355.72876902483      All      0.4489460971234428         -0.16143316644905426      0.12788468858142554        -0.19311370072861295       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5352.133458002491     All      0.5750308700559805         0.44845251009935083       -0.15575969089165476       -0.04818157576833432       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6061.698813054849     All      1.2282025492171575         -0.0859794154957072       0.011267472440068538       -0.4275694856640311        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4598.398361137594     All      -0.5861631954437829        0.4007578181024485        -0.1901184225212793        0.3129885308341421         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4270.8263187045595    All      -0.7175602714801497        0.3430254686120904        0.10285499285724864        0.35005761371781213        
Check         All|All|All                      All                   All      0.9484560494726482         0.9448232148691282        -0.10387095953419134       -0.005818617609024135      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7355.72876902483      All      -5.295548151402348e-05     -6.516334687311214e-05    -0.00016912692364798543    -1.1523861204841257e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5352.133458002491     All      4.003521870187663e-05      -3.14038573002831e-06     -0.0011761158096216104     -6.65483616775458e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6061.698813054849     All      -0.00014983893018240453    -8.74143031253869e-06     -8.228976573155573e-05     4.228788337610512e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4598.398361137594     All      -0.00017117620050184716    1.8630506140882826e-05    -0.0004974698859405771     3.9626492595723424e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4270.8263187045595    All      -0.00038736583976518385    6.505926009704727e-05     -0.0004030809999904553     0.00012938208562330252     
MWEBV         All|All|All                      All                   All      -0.857287758619615         -4.007927741166295        0.0012819051765422529      -1.0262098897516267        
Redshift      All|All|All                      All                   All      7.236827731376732          -1.5672925601178278       5.93027108678692           -2.6031508640406362        
