#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7355.72876902483      All      0.482547114463386         -0.14859080464848518      0.239348392245555          -0.19490136461701307       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5352.133458002491     All      0.5356485344315506        0.43182584299952254       -0.1511721139472187        -0.04056458340156255       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6061.698813054849     All      1.254479984213508         -0.13673562171758746      -0.014066475641828646      -0.4537924146886078        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4598.398361137594     All      -0.5786260674270762       0.4621817238514403        -0.09708859810176731       0.3346927209571904         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4270.8263187045595    All      -0.6962101354979828       0.38743213127752085       0.02169780190151069        0.3539462103048895         
Check         All|All|All                      All                   All      0.9978394301833854        0.996113271762411         -0.001280993543748967      -0.0006194314451035687     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7355.72876902483      All      -6.589123413883917e-05    3.7799433490468505e-05    -0.00046547527199782696    1.3003438229838886e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5352.133458002491     All      4.864669738502383e-05     0.0001451906100588328     -0.0014370526550621394     -3.2681531293063236e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6061.698813054849     All      -0.0002066818998938077    1.8920868336855323e-05    -0.0007305515474201193     4.08850834638784e-05       
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4598.398361137594     All      -0.0002501411278245453    0.00015361657281433058    -0.0005429003369997449     0.00010729001774264198     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4270.8263187045595    All      -0.0004152952623144464    0.00018837699814588918    -0.0003510389701240216     0.0001809706584864315      
MWEBV         All|All|All                      All                   All      -0.8397318977081651       -3.9929822623486544       0.027901300410351375       -1.0258722757277756        
Redshift      All|All|All                      All                   All      7.598744913978584         -2.575906569744113        10.251025350094425         -2.8567625442214206        
