#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6142.893343195745    All      0.6753605354247407         -0.05874317265313067       0.07220274422227169        -0.23589965215616293       
Zeropoint     AB|CNIa02|SDSS_r                      6103.43800090398     All      0.48879953516805724        -0.06056089821262489       -0.025150856107752917      -0.18006713376789718       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4326.854338873198    All      -0.3008944211608674        0.2193868738457283         0.04895707621657697        0.17165746398966342        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5423.823585601371    All      0.33816110179535563        0.12864529331331198        -0.07764004798571089       -0.07171091044172184       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5413.122417881224    All      0.24598300883723156        0.10508861646343348        0.054931433467986235       -0.0434426012992456        
Zeropoint     AB|CNIa02|SDSS_g                      4670.875537945685    All      -0.019637435431527666      0.010858069081276511       -0.020304280108607298      0.009027302325056996       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7454.256419385581    All      0.2908803261812065         -0.051883339129510375      0.1033553029804124         -0.10703712990306202       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4659.992446533115    All      -0.4749922329033574        0.43689333361358607        -0.1098510479496051        0.292128981416237          
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4328.032680642861    All      -0.4972796409972925        0.3211105477302745         -0.1288651746868763        0.26082594781611235        
Zeropoint     AB|CNIa02|SDSS_i                      7401.485348414172    All      0.2387953543197326         -0.04859848026566027       0.06741015743031431        -0.09060542117831916       
Check         All|All|All                           All                  All      0.9851761312332794         1.0021968437866846         -0.014954692520990909      0.004876846800661028       
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6142.893343195745    All      -1.0590736481554052e-05    1.8226278027841992e-06     -3.691519669020908e-05     2.3960854520454746e-06     
Lambda        AB|CNIa02|SDSS_r                      6103.43800090398     All      8.612035570254105e-05      -3.1518488313770996e-05    -0.00012316410003774658    -4.381508981155809e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4326.854338873198    All      -0.00016415222970434418    8.63264078989394e-05       -0.0001620802811149566     7.435623423144448e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5423.823585601371    All      0.0001360630711367783      -3.6558377371105257e-06    -0.0006626307785422003     -7.508121352904569e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5413.122417881224    All      0.00011028401052834214     8.291511991761422e-06      -0.00022013773202280972    -4.3046048151044195e-05    
Lambda        AB|CNIa02|SDSS_g                      4670.875537945685    All      -6.873445810593822e-06     9.705688242483054e-06      -1.7778209859995123e-05    4.607009544709298e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7454.256419385581    All      -1.243595685331205e-05     -2.1433585746898172e-05    -0.00019400557722934372    -1.1588401620197465e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4659.992446533115    All      -0.00029607833340779374    8.313523779232894e-05      -0.00045566243689032537    0.00010318821411926648     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4328.032680642861    All      -0.00044028513867543827    0.00018146756755899252     -0.00048166806466573255    0.00018103067797238615     
Lambda        AB|CNIa02|SDSS_i                      7401.485348414172    All      -1.4804916852007865e-06    -1.536053756183572e-05     -0.0001559555976269807     -1.1480769625905957e-05    
MWEBV         All|All|All                           All                  All      -0.8746115201077926        -4.05147242118522          0.015517091156080909       -1.0341156545892654        
Redshift      All|All|All                           All                  All      5.46359888883853           -0.7912253882802922        6.010044011597337          -1.7692013835602565        
