#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5338.273891749107    All      0.47635109742471826        0.17483873062147381       -0.37562320434112895       -0.11497483576481404       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7336.68081160445     All      0.5361838367202987         -0.04347152829948797      0.5679461814266831         -0.16346799288740427       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4259.766841061624    All      -0.6831610404440842        0.4699761212608067        0.20423210076763446        0.3847286513062075         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4586.490622430079    All      -0.5166324448359667        0.4590915342079782        -0.02465444473289445       0.3167251857053871         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6046.001798590089    All      1.1862653239223615         -0.06287160309357276      -0.36520036564975944       -0.42318220752767144       
Check         All|All|All                      All                  All      0.9990067727873274         0.997563254697198         0.006700267470534649       -0.00017119916829516635    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5338.273891749107    All      0.00012142694242352248     3.983147556731558e-05     0.00011937211732724042     -2.1251298626180767e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7336.68081160445     All      -0.0001797698003973412     1.7311982844394342e-05    -0.00018050745073635492    5.6140802114284994e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4259.766841061624    All      -0.0002918927193939245     8.433613660156453e-05     -0.0008071795650468559     8.652939921305204e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4586.490622430079    All      -9.982946295417988e-05     -3.063621813231277e-05    -0.0008079134753359009     -1.3514951563241471e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6046.001798590089    All      -0.00017318273369077298    1.4594186903331654e-05    2.6248192050753838e-06     6.128225434045602e-05      
MWEBV         All|All|All                      All                  All      -0.8324228523764488        -3.9645010163099847       0.09331453208846695        -1.0160567013151194        
Redshift      All|All|All                      All                  All      5.628418559947686          -0.7930212406533244       -0.5011535451835023        -2.1140383831567267        
