#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LCOGT
@BAND  LCOGT_i
@MAGSYS  Linear_AB11_off
56929.39832  16.678  0.034
56929.39988  16.734  0.034
56932.39134  16.672  0.037
56932.39292  16.652  0.037
56935.08471  16.724  0.035
56935.08629  16.72  0.035
56937.0874  16.794  0.041
56940.0915  16.717  0.037
56940.09309  16.732  0.039
56942.09722  16.783  0.041
56942.09881  16.797  0.046
56944.09423  16.832  0.045
56944.0958  16.865  0.045
56946.07621  17.082  0.038
56946.07779  17.045  0.038
56948.0866  17.133  0.043
56948.08817  17.19  0.045
