#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5338.273891749107    All      0.5522157380851167         0.1886727361965157        -0.4736276754110147       -0.13955374378498697       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7336.68081160445     All      0.5196082326767208         -0.05923117811690304      0.4295745851611743        -0.16937709857542116       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4259.766841061624    All      -0.6691799308248448        0.5054972888807185        0.6603874130969967        0.4121010733875739         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4586.490622430079    All      -0.5360973424659186        0.4593517482881282        0.014866919091593989      0.3249139604786955         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6046.001798590089    All      1.1346763124830708         -0.09669700107348689      -0.6162098021510243       -0.4285974125248365        
Check         All|All|All                      All                  All      1.001223009954145          0.9975935941749725        0.01499143978772599       -0.000513221018975274      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5338.273891749107    All      0.0001527979245287815      6.240921156736572e-05     0.00021319530328730096    -1.9928650296760766e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7336.68081160445     All      -0.0002083582762941749     1.8811646889803158e-06    -0.0005055327336451583    4.592229852565749e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4259.766841061624    All      -0.0002959001050775976     0.00011304296280787303    -0.000531688501849312     0.00010947939515704067     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4586.490622430079    All      -9.097462171180026e-05     -1.817176362273046e-05    -0.0007408603326991653    -9.346907977431878e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6046.001798590089    All      -0.00013907755728360228    2.1498357903696676e-05    0.00022815429415227876    6.248633664044337e-05      
MWEBV         All|All|All                      All                  All      -0.8407949555942151        -3.965198826129779        0.07281846481730359       -1.014471576825926         
Redshift      All|All|All                      All                  All      5.108707764939053          -1.0354060900090722       -1.7857708194899624       -2.0810307678235342        
