#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5330.739494091779     All      0.09517633244945856        0.4848295333697905         -0.451902113068926         0.10675655095436128        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4767.048659817878     All      -0.2563841996683826        0.2872770101542521         0.12721400447348127        0.18276531870863247        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6170.721261255811     All      0.7622613973854683         -0.2722506826837723        -0.08621015528945844       -0.34082178219670894       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4350.322138746059     All      -0.21307359337860807       0.08176591132915689        0.13284438789320296        0.10196716151437582        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7572.57460934431      All      0.20214967020969343        -0.08784501282050883       0.17826064068370825        -0.08650585513242158       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3566.207131737661     All      -0.15036419521302297       0.07303327067447185        0.013882155715429868       0.07338740104902564        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7544.651617108681     All      0.28888221972142636        -0.1456127462644119        0.2292175208785628         -0.1313003796825652        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6219.823083034701     All      0.5370526800339873         -0.0023452127418721602     0.0693478850522869         -0.172604961734103         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4363.8054491032435    All      -0.3980705329078251        0.27382376245626006        -0.06433503607833214       0.21598709948578296        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5385.595974976109     All      0.12769999818979919        0.30506183998308956        -0.14606342372837622       0.051254447147395056       
Check         All|All|All                                All                   All      0.9953297768219944         0.9977376734564558         0.002255866531579276       0.0008850001137745214      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5330.739494091779     All      -0.0002461281931412734     0.0006596423905873148      -0.001859106127076139      0.00021207591020167986     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4767.048659817878     All      -0.00029202999262893106    0.00031366506023580747     -0.000284087415455699      0.00018461728890791784     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6170.721261255811     All      -3.723407015816627e-05     -2.297981694288431e-05     -0.00019181133624821464    -3.9165797559359784e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4350.322138746059     All      -0.00018914017648416102    7.945368822920668e-05      9.81664870121824e-05       9.187057766581e-05         
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7572.57460934431      All      -2.9616826965277224e-05    -2.7783233612271082e-06    -3.662520816192996e-05     7.107768757610982e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3566.207131737661     All      -0.0004122744310990058     0.00020003814984037122     3.174025703777468e-05      0.00020086677399138505     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7544.651617108681     All      -8.250466673285834e-06     -2.728795665536209e-05     -2.498626062685239e-05     -7.316158856011412e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6219.823083034701     All      -8.472602991038946e-05     -2.6081326392116364e-05    -5.545928127648118e-05     1.6627616281236216e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4363.8054491032435    All      -0.00038294038226523473    0.0002944746087371849      -0.0002821551885719798     0.000208065058686664       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5385.595974976109     All      -9.652282372512872e-06     0.00023735179624554661     -0.0005380624739660446     5.644609761716983e-05      
MWEBV         All|All|All                                All                   All      -0.9363767294505152        -4.065185753948342         0.08921776650067327        -1.0151746548818352        
Redshift      All|All|All                                All                   All      10.830467182547338         -6.163222583263384         11.38871378798628          -5.0271778426243           
