#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            6371.426121819804     All      0.0455172712411349         0.004363904087512083       -0.05223858074248078      -0.015736173522912927      
Zeropoint     AB|SDSS|SDSS_i            5359.018370370639     All      1.1861283194387395         0.2836060559534559         1.4603882294107695        -0.2288107739596118        
Zeropoint     AB|SDSS|SDSS_r            4419.171940436351     All      0.859457523483169          0.590585800115484          0.062191963083790824      -0.08480502424273798       
Zeropoint     AB|SDSS|SDSS_g            3381.9303336091757    All      -1.0878396672720554        0.12067322464481833        -1.450190756247105        0.32893705482443664        
Check         All|All|All               All                   All      1.0032634468909878         0.9992289848012703         0.02015085550497453       -0.0004149169008260678     
Lambda        AB|SDSS|SDSS_z            6371.426121819804     All      -1.2182641633488873e-05    3.372632487925412e-06      0.0003388617905206573     2.0188709909688713e-05     
Lambda        AB|SDSS|SDSS_i            5359.018370370639     All      0.00036463675373212337     8.277544224607844e-05      0.00019780111903608787    -8.298454663781789e-05     
Lambda        AB|SDSS|SDSS_r            4419.171940436351     All      -0.0008565501712521512     -0.00032530666825272657    -0.0042090637717894066    -1.4787698285252155e-05    
Lambda        AB|SDSS|SDSS_g            3381.9303336091757    All      -0.0021076122556516227     0.00016630259720787886     -0.0038565441674639146    0.000568589023425715       
MWEBV         All|All|All               All                   All      -0.7018036805045074        -2.5756938020318643        -0.09412603342249248      -0.6145880743017064        
Redshift      All|All|All               All                   All      3.854044937306484          1.03078991548049           4.459600367677785         -0.7206155607342467        
