#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            6371.426121819804     All      0.10896435349997904        0.003587078640521213       -0.20279825242593838      -0.043374799818179606      
Zeropoint     AB|SDSS|SDSS_i            5359.018370370639     All      1.1491222903861895         0.24412007705869598        -0.4100882947534348       -0.3130893516966496        
Zeropoint     AB|SDSS|SDSS_r            4419.171940436351     All      0.7450903586475922         0.61792603372961           1.1990852416720308        0.012088062928692503       
Zeropoint     AB|SDSS|SDSS_g            3381.9303336091757    All      -1.0073868808084108        0.13367480271426757        -0.577793298694544        0.3458970689255785         
Check         All|All|All               All                   All      0.9957901217253499         0.9993079921430947         0.008405395798113613      0.001520980339441813       
Lambda        AB|SDSS|SDSS_z            6371.426121819804     All      -3.387665760506988e-05     -2.1074435008759915e-06    2.2157465119337232e-05    1.1337064112554753e-05     
Lambda        AB|SDSS|SDSS_i            5359.018370370639     All      0.0002759474246303473      2.7464386062713394e-05     -0.000671232464386148     -0.00011089312253698248    
Lambda        AB|SDSS|SDSS_r            4419.171940436351     All      -0.00023314709575411393    -0.0001800302498035356     -0.002168931056303862     -7.948752728438137e-05     
Lambda        AB|SDSS|SDSS_g            3381.9303336091757    All      -0.0020198551460205044     0.00017358197408577882     -0.002016273196636087     0.0006244976195984167      
MWEBV         All|All|All               All                   All      -0.6782683401351599        -2.5765663845991327        -0.1378083035221364       -0.6244878768881125        
Redshift      All|All|All               All                   All      2.9520771422291947         1.0321118901758908         1.5139565266147104        -0.5578349211423741        
