#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5300.143638275801     All      0.3495442102900724         0.16418911241729006        0.2557586642577325         -0.0489629188499912       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3545.7388347343103    All      -0.21488194847748665       0.07912442720376944        -0.15902448256049917       0.08867101679819796       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4739.688115633493     All      -0.2838003442121423        0.357522528398313          -0.0067866280724415695     0.20859710246401655       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7501.3489808956965    All      0.20885025217691655        -0.020677198642715666      0.14656807142008343        -0.06822398209611752      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7529.111708716729     All      0.14210545502892408        -0.02079261577421221       0.026789851316844082       -0.05186575282499304      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6184.124319202714     All      0.4980922511449426         -0.03792005670106846       -0.19884867342701007       -0.18347054596270732      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4325.353402408886     All      -0.2507197492610629        0.13732538854460685        -0.22951118367975365       0.1161570376682552        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6135.304318034476     All      0.6534059974887846         -0.008316855014989244      0.30513443215234304        -0.2019281548204895       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5354.685269600971     All      0.25211139791592246        0.09083034443246873        -0.20929806135090434       -0.06187455631548131      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4338.759325112806     All      -0.34562010600986043       0.23855178417058198        -0.06378211037492143       0.1874377006707095        
Check         All|All|All                                All                   All      1.0090874160850103         0.9798368590340445         -0.13300012031852715       -0.015463053268600646     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5300.143638275801     All      4.439560062864256e-05      4.6988869141035555e-05     0.00011148711451618997     5.819870749547562e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3545.7388347343103    All      -0.0002831790646953641     7.260279026522214e-05      -0.00046048229673696666    9.53406450513426e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4739.688115633493     All      -7.162803631028189e-05     -5.79973863424353e-05      -0.0005495371395377797     -2.008336747518868e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7501.3489808956965    All      -5.936475577884884e-05     3.75201751407454e-06       -7.217273312238359e-05     1.73384719397905e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7529.111708716729     All      -5.331747237372292e-05     2.4827224633478606e-06     -6.829932938607474e-05     1.5128073847289428e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6184.124319202714     All      -0.00014556461882696194    -1.7448650083812522e-05    -0.00025357767690541193    3.0415578829676867e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4325.353402408886     All      -9.170933834355439e-05     3.201883852039645e-05      -0.00022634531740732685    3.0201585791253115e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6135.304318034476     All      -0.0001784734653499489     6.476285567330213e-06      -0.00022127078767276734    5.0369919545964165e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5354.685269600971     All      4.849565029691502e-05      -2.1660155986679712e-05    -0.0007880793975196116     -5.802041815758356e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4338.759325112806     All      -9.174401126412437e-05     2.3805054706465134e-05     -0.0002258371738242549     2.756005640282299e-05     
MWEBV         All|All|All                                All                   All      -1.0285589140272475        -3.9690992333079933        -0.01331708793927966       -0.9584250033643087       
Redshift      All|All|All                                All                   All      4.3059430051025585         0.5429752724993797         0.27339310177181275        -1.2135221099871143       
