#Format:      
#Parameter    MagSys|Instrument|Band       RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     VEGAHST|ACSWF|F850LP_3pix    3728.2601969901652    All      -2.1579111582607373        0.2561962690165842         -0.5483988559835784       0.7618816886018148         
Zeropoint     ST|NICMOS2|F110W_faint       4805.361311353608     All      3.259831700073594          0.7577891425938788         0.44663327972318534       -0.7950663837647032        
Zeropoint     VEGAHST|ACSWF|F775W          3201.142852306129     All      -0.10754957175439736       -0.014630788432867803      0.09036233916831504       0.034299160842862775       
Check         All|All|All                  All                   All      0.994370970058459          0.9993546231775952         -0.011403237092078022     0.001114465679974419       
Lambda        VEGAHST|ACSWF|F850LP_3pix    3728.2601969901652    All      -0.004027788273830931      0.00017382567016464986     -0.0021104859162542487    0.001274422597221091       
Lambda        ST|NICMOS2|F110W_faint       4805.361311353608     All      0.00010940590318048014     -3.1188096338172364e-05    -0.002159514919392742     -0.00014216532360764112    
Lambda        VEGAHST|ACSWF|F775W          3201.142852306129     All      -0.00024956130156910875    -3.9167882501691074e-05    0.0001429706119689998     7.491218010005559e-05      
MWEBV         All|All|All                  All                   All      -0.0029811588283528145     -1.0857748300175274        -0.010971652125391085     -0.3531911360033724        
Redshift      All|All|All                  All                   All      5.121536635307269          -0.017376701583415866      2.4766797501625137        -1.5633902967812445        
