#Format:      
#Parameter    MagSys|Instrument|Band       RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     VEGAHST|ACSWF|F850LP_3pix    3728.2601969901652    All      -2.0217259270772328        0.282958588250537          -0.9744703218749311       0.7072254336257017         
Zeropoint     ST|NICMOS2|F110W_faint       4805.361311353608     All      3.131046744993336          0.7395306464795581         0.900394512042545         -0.7388150001185503        
Zeropoint     VEGAHST|ACSWF|F775W          3201.142852306129     All      -0.11194268680341028       -0.02221898171281822       0.06678092340469584       0.03220608846808971        
Check         All|All|All                  All                   All      0.9973781311126931         1.000270253017277          -0.007294886427690314     0.000616521975241098       
Lambda        VEGAHST|ACSWF|F850LP_3pix    3728.2601969901652    All      -0.0033749819860196964     -8.455046860833558e-05     -0.003200483717649852     0.0009289789081737235      
Lambda        ST|NICMOS2|F110W_faint       4805.361311353608     All      -0.00045919057055692007    -0.00015205769291920643    -0.002272442036765317     -1.3653685339201293e-06    
Lambda        VEGAHST|ACSWF|F775W          3201.142852306129     All      -0.0003952303540551206     -8.142004482649453e-05     0.00012007033331153993    0.00010757652928088178     
MWEBV         All|All|All                  All                   All      -0.023148800355567323      -1.086943108812477         0.030777118896333715      -0.34513936259547623       
Redshift      All|All|All                  All                   All      5.001159890036024          0.44689276219944674        3.3623773660720846        -1.3334271754673295        
