#Format:      
#Parameter    MagSys|Instrument|Band       RestLamb              Phase    dmu/dP                  dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     VEGAHST|ACSWF|F850LP_3pix    4070.410658106352     All      3.9297517692376793      1.274946815753708         0.28842040717732614        -0.8518864357331198       
Zeropoint     VEGAHST|ACSWF|F775W          3494.9186203975146    All      -2.933736465766721      -0.27467424873552915      -0.2816570052952859        0.8535749860930741        
Check         All|All|All                  All                   All      0.9960153034709588      1.000272567018179         0.006763401882040221       0.0016885503599542995     
Lambda        VEGAHST|ACSWF|F850LP_3pix    4070.410658106352     All      0.00201140943980034     0.0005867021879611328     -0.00045866451503354463    -0.0004845421141364179    
Lambda        VEGAHST|ACSWF|F775W          3494.9186203975146    All      -0.00634317141151594    -0.0006576645157126528    -0.002986966324097912      0.0017186620551797632     
MWEBV         All|All|All                  All                   All      -0.30149550181992857    -1.3105614526430998       0.018005678541792264       -0.32788246673060123      
Redshift      All|All|All                  All                   All      1.3402378402664676      -1.1084710246606733       -0.21659582718487308       -0.8072907144141591       
