#Format:      
#Parameter    MagSys|Instrument|Band       RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                    dc/dP                      
Zeropoint     VEGAHST|ACSWF|F850LP_3pix    4070.410658106352     All      3.466207102131721         1.230972283320142          -0.5087251927208047      -0.7507915863890324        
Zeropoint     VEGAHST|ACSWF|F775W          3494.9186203975146    All      -2.475366756343094        -0.23116010012635968       0.502222221541393        0.753423811259904          
Check         All|All|All                  All                   All      0.9908403457886271        0.9998121831937823         -0.006502971179411787    0.002632224870871558       
Lambda        VEGAHST|ACSWF|F850LP_3pix    4070.410658106352     All      0.001813031258666844      0.0006189213581485678      -0.001149133960062967    -0.00044024145050387706    
Lambda        VEGAHST|ACSWF|F775W          3494.9186203975146    All      -0.0024975734230994985    -0.00032301361658558937    -0.002475920232109086    0.000597836721405526       
MWEBV         All|All|All                  All                   All      -0.3337569573579098       -1.3127821603877265        0.009894508724395124     -0.318459171118754         
Redshift      All|All|All                  All                   All      -1.4909103984106205       -1.7267718566413848        3.4280993750769095       0.07615249386148937        
