#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                5621.3609320461865    All      0.44632136466499955       0.2699885847896155        -1.3391572673521424       -0.11719782589662137      
Zeropoint     AB|PS|PS_g                4426.505062520109     All      -0.949706360177974        0.8694029176858464        0.04698545027781442       0.594640483567388         
Zeropoint     AB|PS|PS_z                7824.841056390911     All      0.2018597750254369        -0.02798119740834437      0.10184622081719219       -0.07032183719277718      
Zeropoint     AB|PS|PS_i                6808.685544514418     All      1.3008658266642337        -0.11007652198706808      1.2100415733376835        -0.40559174368209744      
Check         All|All|All               All                   All      0.9993406061766961        1.0013337830800495        0.01971597708054773       0.0015290767958919815     
Lambda        AB|PS|PS_r                5621.3609320461865    All      -4.028561541908468e-06    -9.287546221028707e-06    0.0006678600528825177     2.8090502464424987e-05    
Lambda        AB|PS|PS_g                4426.505062520109     All      -8.032492692340332e-05    -0.000129693948762903     -0.001302066803842465     -7.418637588466364e-05    
Lambda        AB|PS|PS_z                7824.841056390911     All      -4.665920471834003e-05    3.6216206297098902e-06    -7.396612547664698e-05    1.3077350539983481e-05    
Lambda        AB|PS|PS_i                6808.685544514418     All      -0.0007782083462233366    5.748225291070821e-06     -0.0013775173930941553    0.00019388817220211994    
MWEBV         All|All|All               All                   All      -0.6286519480446167       -3.6481970327606916       0.05637483926497211       -0.981049424018493        
Redshift      All|All|All               All                   All      3.691135047092355         1.7944566639238602        0.22327073284120758       -0.6078470009020356       
