#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                5621.3609320461865    All      0.24879164371156046        0.3327535245258417         -1.9171447482283803       -0.058204218141044574     
Zeropoint     AB|PS|PS_g                4426.505062520109     All      -0.8227924202886351        0.8739626513563081         0.6774715339533435        0.5829213914646747        
Zeropoint     AB|PS|PS_z                7824.841056390911     All      0.22942187571354575        -0.037924796276911366      0.12732583681980017       -0.08140163920069854      
Zeropoint     AB|PS|PS_i                6808.685544514418     All      1.3402772889504568         -0.1702749641019352        1.1028156600669006        -0.44282296665251686      
Check         All|All|All               All                   All      0.9956983880869281         0.9985164155033033         -0.009531717388336025     0.0004925674704147065     
Lambda        AB|PS|PS_r                5621.3609320461865    All      -1.2066592034360481e-05    -4.2023137397976555e-05    0.00024587012084469957    1.2142218866800554e-06    
Lambda        AB|PS|PS_g                4426.505062520109     All      -0.00013221161229953334    -5.719038027548652e-06     -0.0010114130046583382    -3.931924223520411e-06    
Lambda        AB|PS|PS_z                7824.841056390911     All      -5.5397571634684634e-05    1.0154191177240982e-05     -2.060385443977171e-05    2.043291034321723e-05     
Lambda        AB|PS|PS_i                6808.685544514418     All      -0.0007864262521849563     7.259090309693553e-05      -0.0007909952355837736    0.0002445116638459006     
MWEBV         All|All|All               All                   All      -0.6202364396038647        -3.655231310034779         0.037404658721308236      -0.9869284795394447       
Redshift      All|All|All               All                   All      3.1316838434326857         0.9066453626271453         -3.969217145240511        -0.9018961660271957       
