#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                            6130.963418284656     All      0.5087393007405633         -0.021792637825335248      0.12272898306224865        -0.1673348755330197        
Zeropoint     AB|CNIa02|SDSS_i                      7390.715040865289     All      0.2753467987167408         -0.06535448260160948       0.05192538483646361        -0.10866042462402435       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4320.558095652387     All      -0.6718238141710096        0.5029742819242955         -0.0217237416807129        0.3817009587899178         
Zeropoint     AB|CNIa02|SDSS_r                      6094.556553291663     All      0.6499105433999388         -0.05685843026492776       -0.21229885861202064       -0.23969182973769165       
Zeropoint     AB|PS|PS_g                            4827.788312693181     All      -0.344898751704251         0.43315811727344666        0.08092509019410343        0.2570500346365765         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5405.2454863606035    All      0.16078554948253926        0.2998955652686597         -0.2103318939328233        0.03592656231834645        
Zeropoint     AB|PS|PS_i                            7425.92452337456      All      0.2084250176633881         -0.045594615788413506      0.10732215203471508        -0.0779532568804709        
Zeropoint     AB|PS|PS_z                            8534.199253624865     All      0.21036796396346488        -0.04952042202068796       0.08228226231494289        -0.08098231793062075       
Check         All|All|All                           All                   All      0.9968526080913744         0.9969073759654279         0.0008293782169168096      5.4851039013384395e-05     
Lambda        AB|PS|PS_r                            6130.963418284656     All      -6.043229538984584e-05     -3.1439268318623957e-06    -0.00011229443820975735    1.3649521343077095e-05     
Lambda        AB|CNIa02|SDSS_i                      7390.715040865289     All      -2.9847354130089044e-05    -3.280289487466959e-05     -0.0003311640226397215     -1.5741046203981234e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4320.558095652387     All      -0.00031944880459440646    0.00013826783539606122     -0.00044369662536382517    0.00012929322550997514     
Lambda        AB|CNIa02|SDSS_r                      6094.556553291663     All      -4.1152127391925196e-05    -3.889001018031531e-05     -0.0003992366162085998     -1.7079250556667198e-05    
Lambda        AB|PS|PS_g                            4827.788312693181     All      -0.00012449338545792877    5.7939468316690375e-05     -0.00028008341405468814    4.6925545944341e-05        
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5405.2454863606035    All      -2.256443009346099e-05     -1.7691642409659702e-06    -0.0006796274117924965     -2.3554947740415964e-05    
Lambda        AB|PS|PS_i                            7425.92452337456      All      -3.3970738897652694e-06    -1.3312832409608984e-05    -0.00013210303012091093    -9.1250402757031e-06       
Lambda        AB|PS|PS_z                            8534.199253624865     All      0.0002900435902285264      -6.664445931308626e-05     0.00012577672194458836     -0.00011057219499518047    
MWEBV         All|All|All                           All                   All      -0.7894060717623876        -4.067993281947047         0.047607439136031035       -1.0658192153169457        
Redshift      All|All|All                           All                   All      5.0640727905704015         0.20700678313909648        5.363171111493347          -1.342772496793719         
