#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                            6130.963418284656     All      0.5283347213094179         -0.020628679478651435      0.17123161533322273        -0.17117415944215564       
Zeropoint     AB|CNIa02|SDSS_i                      7390.715040865289     All      0.26055904096036575        -0.06394770064162003       0.047338598336488236       -0.10359001746901852       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4320.558095652387     All      -0.643381405543425         0.49569893651746355        -0.020367480499960955      0.3701270349291186         
Zeropoint     AB|CNIa02|SDSS_r                      6094.556553291663     All      0.6170163972798911         -0.052547506634859076      -0.23773278564856448       -0.22870791385947997       
Zeropoint     AB|PS|PS_g                            4827.788312693181     All      -0.3428404686626842        0.4416547624776612         0.11377613133588538        0.2606132120955576         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5405.2454863606035    All      0.11767662817138075        0.3015526672942137         -0.3097586842047473        0.0460713678784308         
Zeropoint     AB|PS|PS_i                            7425.92452337456      All      0.2232779264690682         -0.04784468681640064       0.13208330649918665        -0.0824192834837395        
Zeropoint     AB|PS|PS_z                            8534.199253624865     All      0.2323940873476344         -0.05778082306973076       0.09759846201766176        -0.09016414368760439       
Check         All|All|All                           All                   All      0.9930369273316486         0.9961569696480765         -0.005830836830827968      0.0007560969611089541      
Lambda        AB|PS|PS_r                            6130.963418284656     All      -6.329807237049034e-05     1.538514445289028e-05      -0.00010463734480902532    2.096022820343458e-05      
Lambda        AB|CNIa02|SDSS_i                      7390.715040865289     All      -1.526030814395161e-05     -3.6429541871344365e-05    -0.0002946574104884462     -2.0044722789677492e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4320.558095652387     All      -0.0003852510882602698     0.00019794032230442316     -0.00044925809292004385    0.00016991630352920098     
Lambda        AB|CNIa02|SDSS_r                      6094.556553291663     All      7.410785859592186e-05      -5.081036199784924e-05     -0.0002667779294579241     -5.2595047859774175e-05    
Lambda        AB|PS|PS_g                            4827.788312693181     All      -0.00017203405710976378    0.00011222105075263421     -0.00020669256857790136    8.336750031505717e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5405.2454863606035    All      -2.6171746789758922e-05    2.03365980506805e-05       -0.0007053469261517173     -1.6327095779265752e-05    
Lambda        AB|PS|PS_i                            7425.92452337456      All      1.7584366580045737e-06     -1.7260387809334e-05       -0.0001489821431639138     -1.2843445628923379e-05    
Lambda        AB|PS|PS_z                            8534.199253624865     All      0.00027984336792658806     -7.056986372328885e-05     0.00012556882860523876     -0.00010853755769738085    
MWEBV         All|All|All                           All                   All      -0.7847311026536286        -4.072572042513567         0.044123063195122825       -1.0689889512059305        
Redshift      All|All|All                           All                   All      5.05772818926876           -0.37006968759394354       5.133280113747163          -1.5389376225665607        
