#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                8444.960964797627     All      0.3848419077556243         -0.09008210724026355      0.16252039552127165       -0.1474458373972227        
Zeropoint     AB|PS|PS_g                4777.306298500474     All      -1.1274207901614286        1.206247215598033         -0.28825005038946755      0.7472891690085032         
Zeropoint     AB|PS|PS_r                6066.854687277733     All      1.2127995889895082         0.05658273889839194       0.628590990666677         -0.34856673757973344       
Zeropoint     AB|PS|PS_i                7348.2749656677015    All      0.5291461214511808         -0.17361259272981044      -0.5010029585176118       -0.2512690942989915        
Check         All|All|All               All                   All      0.9993668280348849         0.999135254526351         0.00185837728086935       7.499732555482641e-06      
Lambda        AB|PS|PS_z                8444.960964797627     All      0.0004569326159670476      -9.609024700912193e-05    5.919155172793099e-05     -0.00017749629328646352    
Lambda        AB|PS|PS_g                4777.306298500474     All      -0.0003948635606389904     7.758409360363489e-05     -0.0005204626488832035    0.00013066588643180014     
Lambda        AB|PS|PS_r                6066.854687277733     All      -0.00017307753473421524    2.8972116359470895e-06    -0.000482423522660085     3.5792418164733125e-05     
Lambda        AB|PS|PS_i                7348.2749656677015    All      -0.00013573521645139804    -7.428457449273134e-05    -0.002256455913755158     -8.06787681517231e-05      
MWEBV         All|All|All               All                   All      -0.6893745967477649        -4.057773619915661        -0.09167050199425505      -1.1012892123586675        
Redshift      All|All|All               All                   All      5.120754321482667          0.7518388753711136        3.1880210223875585        -1.2808327576692047        
