#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                8444.960964797627     All      0.4123116024691027         -0.09626163696196954      0.17067503191219371       -0.1580425928531276        
Zeropoint     AB|PS|PS_g                4777.306298500474     All      -1.153990832014673         1.2194633699339263        -0.3108344663002527       0.7592410032786531         
Zeropoint     AB|PS|PS_r                6066.854687277733     All      1.216740513607487          0.04429033832709095       0.6556591241234345        -0.35264653917768257       
Zeropoint     AB|PS|PS_i                7348.2749656677015    All      0.5272833197337993         -0.169082202170312        -0.5120362002271752       -0.2496789841482848        
Check         All|All|All               All                   All      1.0023446037957158         0.9984098691287357        0.0034634895082003014     -0.0011271129004419012     
Lambda        AB|PS|PS_z                8444.960964797627     All      0.0004166200395492066      -8.779595016735183e-05    2.823813778655999e-05     -0.00016304474424749175    
Lambda        AB|PS|PS_g                4777.306298500474     All      -0.0004723337212243089     0.00014679879562053843    -0.0004903654319597127    0.00017978907252976114     
Lambda        AB|PS|PS_r                6066.854687277733     All      -0.00013561916375619544    -6.417343259444171e-06    -0.000429012732989143     2.294041566033833e-05      
Lambda        AB|PS|PS_i                7348.2749656677015    All      -0.0001412813985759911     -7.194415250460737e-05    -0.0023930272949633465    -8.420439522429797e-05     
MWEBV         All|All|All               All                   All      -0.6947983093570107        -4.057464539710587        -0.09545126206447693      -1.0995905710932932        
Redshift      All|All|All               All                   All      5.467453080688218          0.5124943254126713        2.8323321474598346        -1.4875991045842183        
