#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5598.177755164886     All      0.41533986632215025        0.22609698391402588       -3.4182651665586428        -0.21418410756568682      
Zeropoint     AB|SDSS|SDSS_i            6788.7689899584675    All      1.0937800288985833         0.08084634360425724       2.71259420145189           -0.2088952051125137       
Zeropoint     AB|SDSS|SDSS_g            4284.206955128981     All      -0.5463128161285706        0.5863958966997984        -0.17552070600612701       0.3611278098063615        
Zeropoint     AB|SDSS|SDSS_z            8071.280426424457     All      0.13310749022854226        0.0029099994595327416     0.37563016859448184        -0.025646956896275414     
Zeropoint     AB|SDSS|SDSS_u            3258.0817643083656    All      -0.09614220419051839       0.10572775102790644       0.584225710837788          0.09182699596195498       
Check         All|All|All               All                   All      0.9997723651301866         1.0019769747055207        0.07866420831939003        0.004228536193840532      
Lambda        AB|SDSS|SDSS_r            5598.177755164886     All      2.239796117092449e-05      -2.016822225863743e-06    0.000219302331836629       1.8337576758403723e-06    
Lambda        AB|SDSS|SDSS_i            6788.7689899584675    All      -0.000468729937293185      -3.03350878508275e-05     -0.0003953963900128046     0.00012515490032918673    
Lambda        AB|SDSS|SDSS_g            4284.206955128981     All      -0.00026353513742647153    0.0001576223579481377     -0.0009082184350914579     9.665523445181743e-05     
Lambda        AB|SDSS|SDSS_z            8071.280426424457     All      -2.5073471324919528e-05    -1.895556849007389e-06    -0.00012165530808360958    2.120891618390106e-06     
Lambda        AB|SDSS|SDSS_u            3258.0817643083656    All      -6.34040790855067e-05      9.10805132405095e-05      0.0005937236464179218      7.681587357826433e-05     
MWEBV         All|All|All               All                   All      -0.8349774068020852        -3.4670572629883267       0.9326004310582614         -0.815737328055785        
Redshift      All|All|All               All                   All      3.5251516909157115         0.12662485352112895       -10.016825068799498        -1.5540168963583434       
