#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5598.177755164886     All      0.5122127204659391        0.240013276150286          -2.53975887081112         -0.20200208782305426      
Zeropoint     AB|SDSS|SDSS_i            6788.7689899584675    All      1.0143883233338689        0.0779101919784253         2.0449246159299417        -0.21378614298796142      
Zeropoint     AB|SDSS|SDSS_g            4284.206955128981     All      -0.5301180823124849       0.5452850465658798         -0.37184106634035863      0.3337006198012168        
Zeropoint     AB|SDSS|SDSS_z            8071.280426424457     All      0.14660407270653547       0.002508120109290246       0.33252069102904364       -0.03209792114862093      
Zeropoint     AB|SDSS|SDSS_u            3258.0817643083656    All      -0.14687164444191195      0.13546420853121077        0.5736331077141318        0.11756468688272274       
Check         All|All|All               All                   All      0.9962153897519467        1.0011808433350922         0.039478477521638466      0.0033791547243029324     
Lambda        AB|SDSS|SDSS_r            5598.177755164886     All      3.2746795615030876e-06    -3.4855319034580243e-07    0.00044793760858503515    1.8809192060032875e-05    
Lambda        AB|SDSS|SDSS_i            6788.7689899584675    All      -0.0005098311594737582    -3.8023926182807774e-05    -0.0006710378881255696    0.00012373779889828906    
Lambda        AB|SDSS|SDSS_g            4284.206955128981     All      -0.0001925354178251422    0.00012856069746577345     -0.0006994544199346634    7.337813021494031e-05     
Lambda        AB|SDSS|SDSS_z            8071.280426424457     All      -2.206257964538638e-05    -3.557020654501778e-07     -7.370823425610007e-05    3.7813841976711704e-06    
Lambda        AB|SDSS|SDSS_u            3258.0817643083656    All      -8.94245729325924e-05     8.362627274028149e-05      0.0003718510498846186     7.296235814562432e-05     
MWEBV         All|All|All               All                   All      -0.8434796858712201       -3.4661550745751057        0.8727828631848554        -0.8153433669210295       
Redshift      All|All|All               All                   All      3.560620936353075         0.3102209775695641         -10.096450201189482       -1.50932040271872         
