#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1 6118.987197696696 All 1.070359779102179 -0.15457929007540105 -0.20189168446275885 -0.4080124527521102
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1 7449.807891573172 All 0.5169138825246655 -0.18441145553350147 0.2603381173305306 -0.21682704103709588
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1 4279.794636836478 All -0.737238697768979 0.5853952325762792 -0.2347211979884583 0.42035085544652756
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1 5298.2845947391415 All -0.6914552748451366 1.0494251158106351 -0.15816206037442493 0.5600039701578097
Check All|All|All All All 0.1585796890127289 1.2958296027780118 -0.3344368254951115 0.3555153318151311
