#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6118.987197696696     All      1.2371980964539855         0.04391627856268343        -0.7328482366626285        -0.42139479684497794      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7449.807891573172     All      0.7850879001892248         -0.3405668435449094        0.2291859374485689         -0.3564352671998959       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4279.794636836478     All      -0.8208262591295227        0.6523254231325382         -0.4214588022183493        0.4610461975107971        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5298.2845947391415    All      -0.20654902181480572       0.6436832502942913         0.9263809573017079         0.3182887502473717        
Check         All|All|All                                All                   All      0.994910715698882          0.9993581084446035         0.001259855869298998       0.0015048837132949355     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6118.987197696696     All      -0.00018196607896786717    -1.4006604440962042e-05    -0.0005455024919781856     3.0366655741333453e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7449.807891573172     All      -5.513356822630634e-05     -0.00012919277338466095    -0.00017008453734431597    -3.171361132720713e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4279.794636836478     All      -0.0008638017904561493     0.0006940272016004111      -0.0005069381993470724     0.0004848138302104272     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5298.2845947391415    All      -0.0004694950651770147     0.0007554372152586065      -0.0013242277847692256     0.00033990653873688513    
MWEBV         All|All|All                                All                   All      -0.7874506372973227        -4.035266675968607         0.04552063053655178        -1.055889157096996        
Redshift      All|All|All                                All                   All      12.089588590964862         -4.7732979896315975        13.05154248143962          -4.910366534410174        
