#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_g          3622.362330699045    All      -0.626004037399478         0.3296169641224367         0.038002342521845776      0.31297306920110995        
Zeropoint     AB|DECam|DECam_i          5848.880868565324    All      0.6898536669955958         0.05187696895845306        -0.910861866952303        -0.24845758104547502       
Zeropoint     AB|DECam|DECam_r          4814.388639716755    All      0.10349492440765001        0.5770928098966621         0.03985242887985767       0.15604484307672722        
Zeropoint     AB|DECam|DECam_z          6854.028157218568    All      0.8263135581551304         0.0407003605928935         0.8374696733255549        -0.21852763919108664       
Check         All|All|All               All                  All      0.9936581121588984         0.9992871035704454         0.00446257777495529       0.0020326920412755134      
Lambda        AB|DECam|DECam_g          3622.362330699045    All      -0.0010401824650889378     0.00046161923182633057     -0.0007015441101521276    0.0004578795289330381      
Lambda        AB|DECam|DECam_i          5848.880868565324    All      -0.00010623372316721177    -1.9488686968714457e-06    0.00035135662499398765    4.964844042166666e-05      
Lambda        AB|DECam|DECam_r          4814.388639716755    All      -0.00016462240709891996    -3.587454603745224e-05     -0.0013472582582068713    -1.8184534303867644e-05    
Lambda        AB|DECam|DECam_z          6854.028157218568    All      -0.000612856001944734      -3.842759776964625e-05     -0.0007480023701777216    0.0001537303190425863      
MWEBV         All|All|All               All                  All      -0.47351223629403494       -2.739887419609488         0.09058503188071498       -0.7341905648038421        
Redshift      All|All|All               All                  All      6.983194700367487          0.24171556028615981        7.739484613356814         -1.8505438918734345        
