#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_g          3622.362330699045    All      -0.5210576293337351       0.33394662138874764       0.19474745505150826       0.2871936977408923        
Zeropoint     AB|DECam|DECam_i          5848.880868565324    All      0.5793387536166308        0.04014695779623878       -1.2183936481678648       -0.2300038194199966       
Zeropoint     AB|DECam|DECam_r          4814.388639716755    All      -0.014273784733732309     0.584776629969852         0.014214649649801903      0.1957647627705561        
Zeropoint     AB|DECam|DECam_z          6854.028157218568    All      0.9484263179476955        0.04097699063407845       1.0144181154236542        -0.2503172786646829       
Check         All|All|All               All                  All      0.9924336574968589        0.9998471997889169        0.004986571957099617      0.00263736242676893       
Lambda        AB|DECam|DECam_g          3622.362330699045    All      -0.0011320405401717567    0.000640964505985725      -0.0003774262765259778    0.0005606832724017665     
Lambda        AB|DECam|DECam_i          5848.880868565324    All      2.098945755544881e-05     7.362224006732289e-06     0.0004309133292842151     1.4790844483133859e-05    
Lambda        AB|DECam|DECam_r          4814.388639716755    All      -0.0001792442162988665    6.61560346251748e-05      -0.0011641068812881631    2.7986191592040043e-05    
Lambda        AB|DECam|DECam_z          6854.028157218568    All      -0.0006823158801850247    -4.002623289943732e-05    -0.000881491549691104     0.00016987794950420397    
MWEBV         All|All|All               All                  All      -0.44661020748651925      -2.7485640280197288       0.08731878909101765       -0.7459254548624561       
Redshift      All|All|All               All                  All      7.056420781331409         -0.6685141314804355       7.4293188401097385        -2.184729065705801        
