#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4227.474518776156    All      -0.4766678785419871       0.34192448325902625        -0.4002315926734834       0.2487819653435655         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5218.017976678722    All      -0.5816309933509967       0.6770140517935008         0.5287014227498776        0.43357561565512404        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8035.865017477925    All      0.8192066830795208        -0.28514395997221165       -0.3618529923995695       -0.37587117361904676       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6218.827674115059    All      1.2587494751362955        0.21659006026086836        0.08340659274452822       -0.33574355428971564       
Check         All|All|All                       All                  All      1.019657286322833         0.9503846353411838         -0.14997656957864702      -0.029257146910072918      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4227.474518776156    All      -0.0007740650510557476    0.0005963748315830603      -0.0010014601172766327    0.00040170679041430274     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5218.017976678722    All      -0.0005978863232346731    0.00042034939021697975     -0.0004174351815807382    0.00031304465588765203     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8035.865017477925    All      1.4492356886040146e-05    -1.5446465280738546e-05    -7.17659657979189e-05     -1.2954644782115173e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6218.827674115059    All      6.316833079264344e-05     -8.793999501747081e-05     6.369471134795683e-05     -4.637855060437921e-05     
MWEBV         All|All|All                       All                  All      -0.6711950174527677       -4.096276002219579         -0.14720179846174908      -1.122230498747906         
Redshift      All|All|All                       All                  All      9.511789006464532         -2.5307655990414624        4.379371134508725         -3.7272250032828342        
