#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4227.474518776156    All      -0.9369585417089618        0.7461983947512074        -0.38778134265646347      0.5309546881160371         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5218.017976678722    All      0.11132824053149148        0.4476737313880541        0.7775552593207221        0.14425751185130345        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8035.865017477925    All      0.4610656600269119         -0.08044582163151404      0.17883660525587589       -0.16840744844898078       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6218.827674115059    All      1.3600034356164898         -0.11420770181675977      -0.5759213615931357       -0.5058997928245959        
Check         All|All|All                       All                  All      0.9954387944659315         0.9992186026909877        -0.007310839673001168     0.0009049586937638354      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4227.474518776156    All      -0.0009496374647196166     0.0007749601633592386     -0.0004960203748180722    0.0005396230738530226      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5218.017976678722    All      -0.00023959466880876606    0.0005769919476675065     -0.0015812577278354093    0.0001954248559488018      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8035.865017477925    All      2.1742001265904048e-05     -2.666692709950595e-06    1.0234423547880959e-05    -7.4939993321807664e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6218.827674115059    All      -0.00021050386215004595    -6.74962874097723e-05     -0.0004233014771677814    2.769227112973537e-05      
MWEBV         All|All|All                       All                  All      -0.7945683987996919        -3.9989876109047806       0.04237273428696013       -1.041893859123054         
Redshift      All|All|All                       All                  All      8.604085369775506          -3.5825251407920256       8.049494020307781         -3.6103680227313895        
