#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_r          4670.026552615423    All      0.7565303078332846         0.5433160983516316         2.3990242902549506        0.037606553186734615       
Zeropoint     AB|DECam|DECam_g          3513.743807054529    All      -0.8341948478926658        0.28402200190491556        -0.6034436800232617       0.3373110962978484         
Zeropoint     AB|DECam|DECam_i          5673.4989639082      All      0.24120947253114788        0.02271456828388807        -3.867602727741954        -0.24376432506446505       
Zeropoint     AB|DECam|DECam_z          6648.506359151682    All      0.8360573562371238         0.14873188102910717        2.0970045249158233        -0.13030483885815924       
Check         All|All|All               All                  All      0.9996022887088907         0.9987845495695424         0.024982407405558238      0.0008484855619587117      
Lambda        AB|DECam|DECam_r          4670.026552615423    All      -0.00019906328351153895    -0.00010300708744896861    -0.0011776151671822799    -2.1262893107948532e-05    
Lambda        AB|DECam|DECam_g          3513.743807054529    All      -0.0014995046126540547     0.00035984263994660995     -0.003196434912474024     0.0004630083614305288      
Lambda        AB|DECam|DECam_i          5673.4989639082      All      -7.598038435896431e-05     -9.683291273476755e-06     0.0008923368688729313     6.141604043031895e-05      
Lambda        AB|DECam|DECam_z          6648.506359151682    All      -0.00037061564842129395    -6.61603111372885e-05      -0.000948344861868559     5.6850844041698e-05        
MWEBV         All|All|All               All                  All      -0.5439379028274431        -2.602173344354597         0.05092130776554475       -0.6681626131476462        
Redshift      All|All|All               All                  All      6.0952457363167944         -0.06862631571280531       2.6242387532328104        -1.8906681898490894        
