#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7803.448606921255    All      0.3998444442985296         -0.09010236924655857      0.08610137075621858       -0.15574948721546783      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5327.790462471722    All      0.5174779226647438         0.4528351252522711        0.15643896978609897       -0.014075133078754784     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4405.289637309048    All      -1.1967961256256086        0.80405766841114          -0.16879896501001898      0.6442111843095687        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6298.067392119915    All      1.2782386820537366         -0.16886265040723103      -0.07287869564726233      -0.47462075366926465      
Check         All|All|All                       All                  All      0.9987649233914015         0.9979277740096215        0.0008626798850362299     -0.0002341896539185817    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7803.448606921255    All      -2.398552203582645e-05     1.1423213812926637e-05    5.8902970900906865e-05    1.4162359238494245e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5327.790462471722    All      4.005250430246093e-05      5.553987292989375e-05     -0.0010295231540846932    -4.089814445673295e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4405.289637309048    All      -0.0004196426115682052     0.00016919112064659787    -0.0005896292036509012    0.0001654900753467849     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6298.067392119915    All      -0.00038522757507553296    8.431914879794997e-06     -0.0005143751767962384    0.00010527364519030727    
MWEBV         All|All|All                       All                  All      -0.8354326118563487        -4.065723250596065        0.012577603251394948      -1.0516506537766368       
Redshift      All|All|All                       All                  All      3.4450810417341913         -0.07309475940981969      -1.3294939450771839       -1.2053148116024708       
