#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7803.448606921255    All      0.4209724905808012         -0.0954109801272196       0.11163638538665976       -0.1632212657687454        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5327.790462471722    All      0.5046932930232557         0.45101387337087573       0.011200977762526598      -0.01698530478791982       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4405.289637309048    All      -1.1767347009120228        0.8109191762558865        -0.0963998865323279       0.6431423754765409         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6298.067392119915    All      1.2497150834511919         -0.1685059321330229       -0.02582184840155266      -0.4631135533600089        
Check         All|All|All                       All                  All      0.9986461661432259         0.9980161373665197        0.0006156282153058079     -0.00017774844013329627    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7803.448606921255    All      -1.3971351906591052e-05    9.188346112176406e-06     5.381802838378378e-05     9.94552700565011e-06       
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5327.790462471722    All      1.203156262443728e-05      9.762434423862e-05        -0.001248780231520699     -2.7846941402004254e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4405.289637309048    All      -0.0005619090414994146     0.0002656915987953034     -0.0006342735489879278    0.00024127204041803646     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6298.067392119915    All      -0.00027781177134159117    1.2751242542889976e-05    -0.0003090923492141918    8.085256092577747e-05      
MWEBV         All|All|All                       All                  All      -0.8349796170416015        -4.067342386278838        0.01607292422816098       -1.0521696347289833        
Redshift      All|All|All                       All                  All      3.5246562565040014         -0.6117956859173823       0.49866991309811537       -1.325125134959916         
