#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4905.804866367405    All      0.9806337145907511         0.40375241846355436        1.0320045745036754        -0.14185559264501407      
Zeropoint     AB|SDSS|SDSS_z            7073.038500293716    All      0.07940483156187726        0.00749394017702798        0.05040758189009953       -0.021174284255995324     
Zeropoint     AB|SDSS|SDSS_i            5949.145847835169    All      1.1653384360537766         0.14484889427279768        -0.08928344629954843      -0.3363913270110805       
Zeropoint     AB|SDSS|SDSS_g            3754.343689713332    All      -1.2279920972821894        0.4428229753408175         -0.995188736605046        0.49982873475834383       
Check         All|All|All               All                  All      0.9973848849242156         0.9989182282541975         -0.0020600265108194904    0.0004075308462539451     
Lambda        AB|SDSS|SDSS_r            4905.804866367405    All      -0.00029279954233711207    -0.00012308427670721308    -0.0011234093005503991    5.149248030779912e-06     
Lambda        AB|SDSS|SDSS_z            7073.038500293716    All      -3.9593382095635465e-05    -4.4958548292465204e-06    -6.580439029493456e-05    8.495871594782707e-06     
Lambda        AB|SDSS|SDSS_i            5949.145847835169    All      -0.0001809054214955075     -2.1074312240606622e-05    2.563090052093555e-05     5.3206039943410116e-05    
Lambda        AB|SDSS|SDSS_g            3754.343689713332    All      -0.0015177811234416334     0.000485060896094655       -0.0027160563214035744    0.0005311864180794784     
MWEBV         All|All|All               All                  All      -0.5910095326992635        -2.9911739532801462        0.09074447593764301       -0.7777630056603992       
Redshift      All|All|All               All                  All      3.880038409632762          0.0891234442843114         6.128273175964027         -0.9613490359092438       
