#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                    
Zeropoint     AB|SDSS|SDSS_r            4905.804866367405    All      0.8970330194946186         0.38221195992527157       0.503607587517934          -0.14522046256657653     
Zeropoint     AB|SDSS|SDSS_z            7073.038500293716    All      0.08073738678146894        0.00844090386529217       0.10448928316112935        -0.01888646616387689     
Zeropoint     AB|SDSS|SDSS_i            5949.145847835169    All      1.152165734477683          0.1407758665125769        -0.18913961435067966       -0.337883386036205       
Zeropoint     AB|SDSS|SDSS_g            3754.343689713332    All      -1.1322980066460486        0.46739097933006235       -0.41893698743447466       0.5023760972956313       
Check         All|All|All               All                  All      0.997638134107722          0.998819709633203         2.0268893909047847e-05     0.0003857825289728112    
Lambda        AB|SDSS|SDSS_r            4905.804866367405    All      -0.0002577238760947919     -8.655866344301651e-05    -0.0011458280368508683     4.621098242086769e-06    
Lambda        AB|SDSS|SDSS_z            7073.038500293716    All      -3.5305498523956425e-05    -3.973015925600514e-06    -4.9930976438933315e-05    7.977830236554412e-06    
Lambda        AB|SDSS|SDSS_i            5949.145847835169    All      -0.00018246665169645027    -2.536781370280366e-05    1.7162690478576207e-05     5.193815198345654e-05    
Lambda        AB|SDSS|SDSS_g            3754.343689713332    All      -0.0016435437081312868     0.0005552158227767089     -0.0027040527942091184     0.0005955388593163996    
MWEBV         All|All|All               All                  All      -0.5656550147829997        -2.994924590893433        0.1581169129530361         -0.7842369899139634      
Redshift      All|All|All               All                  All      4.03446193482208           -0.06932598720261751      4.820651502552097          -1.1216152007084885      
