#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4137.141370444435    All      -2.936710393819694        0.6342275126410613         -0.2912005984228916       1.1501770112302343        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4954.230881721746    All      3.9311466295217494        0.36806471864760937        0.29169253592904454       -1.1475961021015835       
Check         All|All|All                            All                  All      0.9944362357020555        1.0022922312886706         0.0004919375061529507     0.0025809091286508323     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4137.141370444435    All      -0.0009069904920125371    9.932930062238657e-05      -0.0014011266133193239    0.00026526561778833106    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4954.230881721746    All      -0.0007580631743462684    -0.00014935789777943868    -0.0009586672303319886    0.00015549441889620434    
MWEBV         All|All|All                            All                  All      -0.03918492472415602      -2.1381337178821624        0.015031209542382129      -0.6830259014497394       
Redshift      All|All|All                            All                  All      7.184886739348209         1.2489113736416257         4.874408023551036         -1.716020021654753        
