#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4137.141370444435    All      -2.9263319140065733        0.6303267639736987         -0.34144995641620446      1.1432833986811897        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4954.230881721746    All      3.9187883478083467         0.3720340609749684         0.34120341310134794       -1.1400682147356658       
Check         All|All|All                            All                  All      0.9924564338017734         1.002360824948667          -0.0002465433148565177    0.0032151839455238918     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4137.141370444435    All      -0.0011859814026631255     0.0001563035796684863      -0.0013618872308761734    0.0003764516064174515     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4954.230881721746    All      -0.00034800557101240373    -0.00011412004493268184    -0.0011103105320038856    2.6636150877911897e-05    
MWEBV         All|All|All                            All                  All      -0.037495842595072215      -2.1386519169743323        0.012256245264404563      -0.6838687194716732       
Redshift      All|All|All                            All                  All      6.6673417229377865         0.9321950006071944         5.409527156841756         -1.6267236162355931       
