#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3763.268436994743    All      -0.9173168008666328        0.4512895434327646         0.022284011252837743      0.4467945452250932        
Zeropoint     AB|SDSS|SDSS_r            4917.466843070339    All      0.9798497416170615         0.5263194638530422         1.7860211720374775        -0.0680278101612003       
Zeropoint     AB|SDSS|SDSS_i            5963.288032893414    All      0.8385195621261611         0.013209825938886866       -1.911039605773368        -0.3541114534782494       
Zeropoint     AB|SDSS|SDSS_z            7089.852379454478    All      0.09768078690618645        0.00801573308422121        0.1037833386451581        -0.02457548417836436      
Check         All|All|All               All                  All      0.9987332897827763         0.9988345663089149         0.001048916162105229      7.979740727914741e-05     
Lambda        AB|SDSS|SDSS_g            3763.268436994743    All      -0.0017232682572518969     0.0007929464624674057      -0.000708124657694591     0.0007880135640440208     
Lambda        AB|SDSS|SDSS_r            4917.466843070339    All      -0.00031662674284441936    -4.4634238034404294e-05    -0.001608733484193542     1.680652035032566e-05     
Lambda        AB|SDSS|SDSS_i            5963.288032893414    All      9.866196380603972e-05      2.592164929786387e-05      0.0008107046325353834     1.2484110797775798e-05    
Lambda        AB|SDSS|SDSS_z            7089.852379454478    All      -4.6502694121280374e-05    -5.7287589473894585e-06    -9.6740826372268e-05      8.964313342309513e-06     
MWEBV         All|All|All               All                  All      -0.5522923216458802        -3.019669089947996         -0.0017177344506791314    -0.8037824423198239       
Redshift      All|All|All               All                  All      3.7128472649085067         -0.8368395693633346        2.116715782065315         -1.3875233785436134       
