#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3763.268436994743    All      -1.1591146740245717        0.43523492626373894        -0.6430179007045822       0.4906371817237078        
Zeropoint     AB|SDSS|SDSS_r            4917.466843070339    All      0.944846678030024          0.49326470211212836        1.3140987316208281        -0.08845291520711475      
Zeropoint     AB|SDSS|SDSS_i            5963.288032893414    All      1.1033546529448852         0.06400281015945808        -0.7642064012448163       -0.37265411066969617      
Zeropoint     AB|SDSS|SDSS_z            7089.852379454478    All      0.10891278023970569        0.006276694870699373       0.09534712113370668       -0.029177045528888765     
Check         All|All|All               All                  All      0.9979994371900435         0.9987791334060248         0.0022215508051362937     0.00035311031800812354    
Lambda        AB|SDSS|SDSS_g            3763.268436994743    All      -0.001815484710475923      0.00055731782571339        -0.002026664699067396     0.0006824591115365081     
Lambda        AB|SDSS|SDSS_r            4917.466843070339    All      -0.00021612396319972907    -9.694790542676684e-05     -0.0013953575500613754    -2.344883602131799e-05    
Lambda        AB|SDSS|SDSS_i            5963.288032893414    All      -0.00019062016067527507    -1.2600609802168826e-05    4.999177979975879e-05     6.02177279171574e-05      
Lambda        AB|SDSS|SDSS_z            7089.852379454478    All      -4.666722277195398e-05     -3.867239887651658e-06     -7.130452609961913e-05    1.075936899304707e-05     
MWEBV         All|All|All               All                  All      -0.5512409596753658        -3.011371117442607         0.08080445414538277       -0.797739396595871        
Redshift      All|All|All               All                  All      5.108530530130825          0.21549590612757186        7.880025714490257         -1.2421729971068691       
