#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5389.631191372537    All      0.5826710544822465         0.25835396510780484        0.086634998451907          -0.10177462364382099       
Zeropoint     AB|CNIa02|SDSS_i                      7369.365260339684    All      0.5456214081990443         -0.09711760165469485       0.194888952914733          -0.20066424211870382       
Zeropoint     AB|CNIa02|SDSS_g                      4650.605426393558    All      -0.712796529154869         0.6714784797305029         0.41199624810145713        0.46928941201148916        
Zeropoint     AB|CNIa02|SDSS_r                      6076.951024720448    All      1.1558134559695015         -0.13201199821013532       -0.24793023298601397       -0.43055110622108167       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4308.077169709462    All      -0.5735984185798756        0.29673367547857765        -0.44724048482887596       0.26353750737358217        
Check         All|All|All                           All                  All      0.9977109709160475         0.9974365204520552         -0.001650518346792862      -0.00016305259853516274    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5389.631191372537    All      3.400777506652405e-05      -3.940820276939396e-05     -0.0008119817405917775     -6.0149015080453274e-05    
Lambda        AB|CNIa02|SDSS_i                      7369.365260339684    All      -1.366328132164127e-05     -2.391075759015123e-05     -0.00030944044989275095    -1.7146846222741644e-05    
Lambda        AB|CNIa02|SDSS_g                      4650.605426393558    All      -0.00015275809516734307    1.5424788763406393e-05     -0.0004652679713558881     3.40199256856654e-05       
Lambda        AB|CNIa02|SDSS_r                      6076.951024720448    All      -0.00010147877949246674    -2.5461869274411193e-05    -0.00037328843604984244    8.103060090953465e-06      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4308.077169709462    All      -0.00029203000508615164    5.668037025720795e-05      -0.0006727723897087434     8.356369965904291e-05      
MWEBV         All|All|All                           All                  All      -0.8535129682520797        -4.034701693124276         0.021860499700835787       -1.0352422919912647        
Redshift      All|All|All                           All                  All      4.644720457128962          -0.13637374373391964       2.47639082121032           -1.4468497258492077        
