#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5389.631191372537    All      0.6865707845461375         0.24395552360232386        0.1319372655579465        -0.13828659790305375      
Zeropoint     AB|CNIa02|SDSS_i                      7369.365260339684    All      0.4579911440669776         -0.09393612068286927       0.005251408251538692      -0.17954652176527236      
Zeropoint     AB|CNIa02|SDSS_g                      4650.605426393558    All      -0.6381014849134746        0.6409822507504437         0.5057427954344496        0.43920863147831857       
Zeropoint     AB|CNIa02|SDSS_r                      6076.951024720448    All      1.127078311688582          -0.13752066510397398       -0.32378703260484976      -0.42637061897700995      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4308.077169709462    All      -0.6338527210778561        0.3437602666080508         -0.31720527761947004      0.30428529793226045       
Check         All|All|All                           All                  All      0.9996860343103665         0.9972412551739751         0.0019391590196149444     -0.0007098092347570528    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5389.631191372537    All      -5.042055978875208e-05     -2.441388219723315e-05     -0.0008462089862195784    -2.929119007184473e-05    
Lambda        AB|CNIa02|SDSS_i                      7369.365260339684    All      -2.489297562590426e-05     -1.803168241126386e-05     -0.0002844482274687645    -1.045866903862552e-05    
Lambda        AB|CNIa02|SDSS_g                      4650.605426393558    All      2.6862320921656167e-06     -7.403453833068017e-05     -0.000730803201251896     -5.760286937926891e-05    
Lambda        AB|CNIa02|SDSS_r                      6076.951024720448    All      -0.00014042129895934443    -2.4092059036162564e-05    -0.0003778608689390875    2.1030065432744913e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4308.077169709462    All      -0.000336767163221071      6.27558324760617e-05       -0.0006322296721528589    0.00010192427707237494    
MWEBV         All|All|All                           All                  All      -0.8509156802262021        -4.033835127751928         0.0280015318505189        -1.0355319992385033       
Redshift      All|All|All                           All                  All      4.578439604018743          0.11781537876700554        2.4315343927751365        -1.3444638480265616       
