#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            5766.659564034486     All      1.2224763820975773         0.17261370314152202        0.16838160722214557        -0.33446071621062584      
Zeropoint     AB|SDSS|SDSS_r            4755.322406866019     All      0.7922673633568276         0.5017453172074582         0.4349674971647399         -0.07522198665726385      
Zeropoint     AB|SDSS|SDSS_z            6856.077520665449     All      0.1531292673980454         0.03217242206385862        0.3146814613606441         -0.025356835546507667     
Zeropoint     AB|SDSS|SDSS_g            3639.1815730717244    All      -1.1696181555866503        0.292203725252449          -0.9146746670598116        0.435345749658601         
Check         All|All|All               All                   All      0.9982548572658            0.9987351676652878         0.0033558986877180175      0.000306211244203658      
Lambda        AB|SDSS|SDSS_i            5766.659564034486     All      -0.00028301244457167626    -2.423613105920676e-05     0.00018338824846635105     9.24757340561432e-05      
Lambda        AB|SDSS|SDSS_r            4755.322406866019     All      -6.866172772150785e-05     -3.750364081678708e-05     -0.0002481976224173635     -9.267059825596216e-07    
Lambda        AB|SDSS|SDSS_z            6856.077520665449     All      -0.0001136150917598629     -2.5890070943333796e-05    -0.00025813562289072576    1.7055518071824e-05       
Lambda        AB|SDSS|SDSS_g            3639.1815730717244    All      -0.0022213336971651943     0.00033727616261293984     -0.0034673102298274847     0.000678693276316537      
MWEBV         All|All|All               All                   All      -0.5271198790576492        -2.8358549767780517        0.33333187158595123        -0.737155905965188        
Redshift      All|All|All               All                   All      6.137448810960585          -0.5777968161584823        -3.995768195758842         -2.3656892084488694       
