#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            5766.659564034486     All      1.1835248832409877         0.15720203487283868        -0.11562173507674903       -0.33946678373734973       
Zeropoint     AB|SDSS|SDSS_r            4755.322406866019     All      0.7373066918157789         0.4468494339565865         0.11161177604796693        -0.08963076369401335       
Zeropoint     AB|SDSS|SDSS_z            6856.077520665449     All      0.17366019487357426        0.03231006204327258        0.2548711416585747         -0.034668660072663504      
Zeropoint     AB|SDSS|SDSS_g            3639.1815730717244    All      -1.0968626451297836        0.36263539038099424        -0.24639258012328336       0.4644111570142958         
Check         All|All|All               All                   All      0.9976291248005573         0.998996921253692          0.004468602506509267       0.0006449495102692215      
Lambda        AB|SDSS|SDSS_i            5766.659564034486     All      -0.00036500046587036364    -3.915783430589821e-05     0.00013136129617895534     0.00011199971633256753     
Lambda        AB|SDSS|SDSS_r            4755.322406866019     All      -6.354098580790997e-05     -4.501328780992511e-05     -0.0005098303611804347     -1.6716306672226283e-05    
Lambda        AB|SDSS|SDSS_z            6856.077520665449     All      -0.00010117793286021239    -1.8521097541460458e-05    -0.00014877436868062475    2.0284933814171447e-05     
Lambda        AB|SDSS|SDSS_g            3639.1815730717244    All      -0.002276526283333705      0.0004348426477243595      -0.002757321375060109      0.0007601354731839836      
MWEBV         All|All|All               All                   All      -0.5357997316402225        -2.8454532753073636        0.20586745711593557        -0.743143225420931         
Redshift      All|All|All               All                   All      6.843767308640613          -0.5549471904803482        -1.9679996782548173        -2.4978275097856257        
