#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4955.675018929439    All      0.8761765942243569         0.3869629565624422         -0.725297601112318         -0.1917196772033558       
Zeropoint     AB|SDSS|SDSS_z            7144.93975170814     All      0.08958969068120984        0.008754086479001444       0.21014932230561945        -0.016952816627471834     
Zeropoint     AB|SDSS|SDSS_i            6009.622124231587    All      1.0727756281394063         0.11247652711716682        -0.2520679843451168        -0.324049646539909        
Zeropoint     AB|SDSS|SDSS_g            3792.508618338989    All      -1.0364898930039055        0.49139484672586775        0.8072094838007193         0.5337043775278411        
Check         All|All|All               All                  All      1.0020520200410674         0.9995884168844782         0.03999322064890398        0.0009822371571044375     
Lambda        AB|SDSS|SDSS_r            4955.675018929439    All      -0.00022483127765641909    -0.00010898536477364602    0.0002582549820725046      4.925955877091407e-05     
Lambda        AB|SDSS|SDSS_z            7144.93975170814     All      -4.297124375467723e-05     -5.356753227906901e-06     -0.00017596043342243647    4.399971057946752e-06     
Lambda        AB|SDSS|SDSS_i            6009.622124231587    All      -0.000426844877590277      -5.2752124164854714e-05    -0.0007631241562743887     8.779959088463551e-05     
Lambda        AB|SDSS|SDSS_g            3792.508618338989    All      -0.001298677941398006      0.00034585735616207036     -0.004122460232349805      0.00035171278362480557    
MWEBV         All|All|All               All                  All      -0.5695521744076975        -3.033195608015049         0.3211357489728006         -0.7881589042339016       
Redshift      All|All|All               All                  All      4.362186164025024          1.1254618383851778         6.300464269573213          -0.7731468145629694       
