#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4955.675018929439    All      0.8893856479022016         0.36469656039486154        -0.014566434143004254      -0.17155853061398427      
Zeropoint     AB|SDSS|SDSS_z            7144.93975170814     All      0.11408658188419576        0.012289471663606832       0.3368738659719164         -0.018125534391673092     
Zeropoint     AB|SDSS|SDSS_i            6009.622124231587    All      1.1191200398774999         0.12167714812481023        -0.032450246278782374      -0.32634807019312145      
Zeropoint     AB|SDSS|SDSS_g            3792.508618338989    All      -1.1241877593082412        0.5003359761426296         -0.2863134458423248        0.5163839717819129        
Check         All|All|All               All                  All      0.9984045103556558         0.9989991563259082         0.003543739707804916       0.00035183658313409083    
Lambda        AB|SDSS|SDSS_r            4955.675018929439    All      -0.00019046056891024475    -7.112121851330197e-05     -0.00028001713379453114    2.6376873963222155e-05    
Lambda        AB|SDSS|SDSS_z            7144.93975170814     All      -3.795330802937545e-05     -4.179202798887275e-06     -0.0001136665215836981     5.928922401798544e-06     
Lambda        AB|SDSS|SDSS_i            6009.622124231587    All      -0.00020206842882634836    -2.4733066168421005e-05    -4.895564103017189e-05     5.557929636377649e-05     
Lambda        AB|SDSS|SDSS_g            3792.508618338989    All      -0.0015994340107958864     0.000543924980508032       -0.0039709844617870395     0.000520955739426415      
MWEBV         All|All|All               All                  All      -0.5549346082819775        -3.042424487176021         0.28279769006424343        -0.7976373274772776       
Redshift      All|All|All               All                  All      4.1859914525542425         0.37126615328268997        6.851222068974791          -0.9368429562938131       
