#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5424.744006447416     All      0.7167767104205844         0.43755711560335975        0.13764381936689496       -0.08480859660063844       
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4336.1437871860835    All      -1.1383126469628453        0.7762306661654339         -0.06290504756598925      0.6208225803295566         
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_R    6483.0845633863055    All      1.0270239818480853         -0.14342691886390924       -0.2680391807517918       -0.39321572263028987       
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_I    7878.233182578503     All      0.3922284067469335         -0.0721426243146972        0.19220246324525847       -0.1426838089892607        
Check         All|All|All                                All                   All      0.9977164520527577         0.9982182385901872         -0.001097945705627601     0.00011445210936761319     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5424.744006447416     All      -4.963487078560999e-05     -3.5246786052398174e-05    -0.0007196017213455216    -2.7425847260952653e-05    
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4336.1437871860835    All      -0.0002687451312919704     1.6015601435951753e-05     -0.000655534779327466     6.350243256027992e-05      
Lambda        Linear_AB11_off|CalanTololo|Bessell12_R    6483.0845633863055    All      -0.00038054984856486176    3.2865458920668278e-06     -0.0006017583232133839    9.817443132791368e-05      
Lambda        Linear_AB11_off|CalanTololo|Bessell12_I    7878.233182578503     All      2.1571190546091215e-05     -3.2878991187439034e-08    4.2499600741983856e-05    -5.14059421355924e-06      
MWEBV         All|All|All                                All                   All      -0.8532358697180293        -4.055638692464569         0.02937942602537491       -1.0418168864433432        
Redshift      All|All|All                                All                   All      4.637466371551806          -0.2355468943934902        -2.24254746657456         -1.6873753318781797        
