#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5424.744006447416     All      0.6477211030964409         0.44747132218487806        0.15041040330927252       -0.058515816175307        
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4336.1437871860835    All      -1.1100611908042008        0.7729875315969359         -0.1270028880884666       0.607703363756683         
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_R    6483.0845633863055    All      1.0404970274901986         -0.14971655310382914       -0.2955609897241175       -0.40088124957206245      
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_I    7878.233182578503     All      0.41989440208974854        -0.07247051226721979       0.27307900759080733       -0.1481931890283478       
Check         All|All|All                                All                   All      0.998051341872187          0.998271788410765          0.0009255330874957668     0.00011310898096575372    
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5424.744006447416     All      -7.923855259621193e-06     -7.993306484969607e-06     -0.0007186272035629178    -3.209165410862155e-05    
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4336.1437871860835    All      -0.0003658951950750258     8.78000044427936e-05       -0.0006427104291500443    0.00011910223802093269    
Lambda        Linear_AB11_off|CalanTololo|Bessell12_R    6483.0845633863055    All      -0.00035706660038235794    -3.0289611298674296e-06    -0.0006410569579912102    8.671427882986799e-05     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_I    7878.233182578503     All      3.7304208473956706e-05     -4.28576032148433e-07      7.61687942747283e-05      -8.8917458275138e-06      
MWEBV         All|All|All                                All                   All      -0.8369752688484127        -4.060046160075359         0.03956800445727619       -1.0480944868457003       
Redshift      All|All|All                                All                   All      4.423755119507527          -0.6152532736178884        -1.870897752551271        -1.724860386066756        
