#Format:      
#Parameter    MagSys|Instrument|Band                        RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4259.367311038069    All      -1.0807745129794537        0.721252142123685         0.051884039359482055      0.5892947128649472        
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    8084.755596005892    All      0.40193577682628184        -0.0661101683125942       0.3102103121205395        -0.1386147011004437       
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6175.857573823122    All      1.347158198500296          -0.11285489715726627      0.007751287140493181      -0.47522839391508626      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5257.347971171856    All      0.33041123471546074        0.45609641570241166       -0.36561387077537305      0.024624130518151398      
Check         All|All|All                                   All                  All      0.9987306970625851         0.9983834923562362        0.004231767845141676      7.57483675685941e-05      
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4259.367311038069    All      -0.0007903543444853145     0.00026919293166447394    -0.0012631728408276262    0.0002887598035688611     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    8084.755596005892    All      -1.6988474085086368e-05    1.0710594380300216e-06    -4.922921745122159e-05    3.685710336253757e-06     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6175.857573823122    All      -0.0003105910673645922     1.1427878328818435e-06    -0.0005164144928735827    7.849676536605642e-05     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5257.347971171856    All      0.00010031952610307481     4.338344213092374e-05     -0.0016831205645697345    -9.365589619485496e-05    
MWEBV         All|All|All                                   All                  All      -0.7931500949839605        -3.956678238795508        0.0787783361567966        -1.0269496780970901       
Redshift      All|All|All                                   All                  All      6.16995162687426           -0.08629124407262267      11.391965893035374        -1.5294930109449634       
