#Format:      
#Parameter    MagSys|Instrument|Band                        RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4259.367311038069    All      -1.053997893847633        0.7196382477933305         0.1831464111377537        0.5859046253963635        
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    8084.755596005892    All      0.4001423103762177        -0.0688915600911777        0.3066487876567603        -0.13909543536104862      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6175.857573823122    All      1.3175626061983234        -0.11310525048591202       -0.012456221862343353     -0.4665714524688523       
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5257.347971171856    All      0.333554673973006         0.46054950818730234        -0.4793457152400926       0.019975397793616824      
Check         All|All|All                                   All                  All      0.9972616966999142        0.9981909454035431         -0.0020067383079219736    0.00021313536007936534    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4259.367311038069    All      -0.0007728982963770253    0.00026043658899846037     -0.0013130504354928357    0.0002779957575612271     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    8084.755596005892    All      -1.783207003245294e-05    1.1532632115339502e-06     -5.577493909024169e-05    3.6951682699100253e-06    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6175.857573823122    All      -0.0003145018173844412    -1.1166938902101875e-05    -0.0006127368357554936    7.146251856151032e-05     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5257.347971171856    All      2.465308899635599e-05     3.31846622099284e-05       -0.001969212621473407     -8.509790095383857e-05    
MWEBV         All|All|All                                   All                  All      -0.7998736672477524       -3.9539944248653924        0.0880372623170006        -1.0234721995701013       
Redshift      All|All|All                                   All                  All      6.315826774018046         0.000410811237205877       12.046202947447           -1.519572038755896        
