#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i                           7113.8975444220905    All      0.0781104629832135         -0.015979800744858608      -0.31243827445168976       -0.04459097958565264       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5106.588044197346     All      0.3409041230719558         0.28789563645936767        0.6129981098411948         0.01008868222659792        
Zeropoint     AB|SDSS|SDSS_z                           8457.831175403466     All      0.02595078152802298        -0.0006607132874592025     -0.012940209574053733      -0.009245701474634379      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4180.312461018225     All      -0.42764658980572123       0.22962664494468044        -0.5157229795076258        0.19108116825988827        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5911.249546470664     All      1.0341984592924567         0.06584034932934912        0.36574429283018833        -0.2991046064642905        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7227.407714870044     All      0.42469513742253895        0.0030204723490356855      0.5927591409048062         -0.11090119308454228       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4566.599759623113     All      -0.1669451756346576        0.27184860912043973        0.3159311072285782         0.15702812587798454        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3416.2522333433885    All      -0.1262763753577209        0.08037949630033125        0.19869086554055188        0.07618127695019797        
Zeropoint     AB|SDSS|SDSS_u                           3414.118214498483     All      -0.11214206767760997       0.05420170124494916        -0.04032001130293052       0.05238434116418816        
Zeropoint     AB|SDSS|SDSS_g                           4489.386718412192     All      -0.09153927640836446       0.035867443879666894       -0.33919469477242736       0.02636385899159896        
Zeropoint     AB|SDSS|SDSS_r                           5866.286368649803     All      0.01494352929167772        -0.014143878434413892      -0.8643219611188779        -0.048045445081230584      
Check         All|All|All                              All                   All      0.9942530087057915         0.9978959611610883         0.0011853856177144184      0.0012395277801054497      
Lambda        AB|SDSS|SDSS_i                           7113.8975444220905    All      -2.3834780226326956e-05    4.368237208333801e-06      8.528122350545252e-05      1.2992359952738682e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5106.588044197346     All      7.537881864747156e-05      5.204282030983737e-05      -0.0002448029524739976     -1.8525733819730248e-05    
Lambda        AB|SDSS|SDSS_z                           8457.831175403466     All      -1.1260274353105332e-05    2.1868985437182188e-07     6.004187139545974e-06      4.0070155848843495e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4180.312461018225     All      -0.0003136222398078938     7.164867632107342e-05      -0.000983892499676595      8.158880901409568e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5911.249546470664     All      -0.0001341379801253139     9.151379827907847e-06      0.00010195218020888535     5.122371616998015e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7227.407714870044     All      -0.0001882958528033432     1.0100579763168066e-05     -0.00015531279919662238    5.769334823341173e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4566.599759623113     All      -6.0023557447004455e-05    4.418785458148206e-06      -0.0003382679281612126     5.895647148881607e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3416.2522333433885    All      -0.0003078399067552969     0.00018197482131726236     0.00038404645655192607     0.0001766870008534766      
Lambda        AB|SDSS|SDSS_u                           3414.118214498483     All      -5.0893251457765663e-05    2.281181431612925e-05      -3.28554880737863e-05      2.2541975214262605e-05     
Lambda        AB|SDSS|SDSS_g                           4489.386718412192     All      1.090761174006939e-05      -4.799915030964916e-06     3.8204393962496485e-05     -3.4115715954958595e-06    
Lambda        AB|SDSS|SDSS_r                           5866.286368649803     All      -1.5608494268486386e-06    -2.7791266102166895e-07    5.8959156282200466e-06     6.810023475221877e-07      
MWEBV         All|All|All                              All                   All      -0.9841705436721031        -3.7361501489575843        0.1856381316506582         -0.8881261176707952        
Redshift      All|All|All                              All                   All      6.083867575097516          0.06001652740019736        -0.8449993831317375        -1.9998749065753638        
