#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i                           7113.8975444220905    All      0.0866395903498722         -0.02015073566763448       -0.3433525682629113        -0.050107370641539264     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5106.588044197346     All      0.3384358046737009         0.2953463779916454         0.6179642260577752         0.013541261331550397      
Zeropoint     AB|SDSS|SDSS_z                           8457.831175403466     All      0.032629187700437115       -0.0011061997486905284     -0.015169324859898303      -0.01166566285176994      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4180.312461018225     All      -0.42067419459432953       0.2364359942541583         -0.4192399401824781        0.19533365376009393       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5911.249546470664     All      1.0069920275978346         0.057371874589495775       0.27195087591770917        -0.29718660684287057      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7227.407714870044     All      0.42431423835976745        0.0034164063617225793      0.5937185660556801         -0.11060533825681326      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4566.599759623113     All      -0.17909643209083437       0.2678616587736826         0.2603309994382519         0.1572063315268917        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3416.2522333433885    All      -0.13081402536944303       0.08519021696073992        0.22409600443362432        0.08036006349758616       
Zeropoint     AB|SDSS|SDSS_u                           3414.118214498483     All      -0.10521450899432266       0.05688773360201793        0.014134030964976785       0.05343277030571414       
Zeropoint     AB|SDSS|SDSS_g                           4489.386718412192     All      -0.08326570547095741       0.035706472075247575       -0.2997560924877449        0.025376414617388904      
Zeropoint     AB|SDSS|SDSS_r                           5866.286368649803     All      0.0261569945476908         -0.01877308493822838       -0.8843462371283001        -0.0540995159519532       
Check         All|All|All                              All                   All      0.996102976709416          0.9981867142541567         0.020330539946684545       0.0015860004942789968     
Lambda        AB|SDSS|SDSS_i                           7113.8975444220905    All      -2.6333158564848877e-05    4.630485802780455e-06      7.493262845475554e-05      1.3429776699000274e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5106.588044197346     All      6.732911436219835e-05      5.4744700242627056e-05     -0.0002839384716908936     -1.677002760300447e-05    
Lambda        AB|SDSS|SDSS_z                           8457.831175403466     All      -1.016679025646572e-05     3.072632238685642e-07      3.330622001089351e-06      3.5603741675842103e-06    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4180.312461018225     All      -0.00031739231349516527    7.554715394274119e-05      -0.0009848037426699336     8.404604387365654e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5911.249546470664     All      -0.00011113911304562205    5.830379215253761e-06      0.00011940277812032927     4.3429209401746235e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7227.407714870044     All      -0.00018241193773141674    1.2960156854973752e-05     -0.00011568941533077232    5.84764314938354e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4566.599759623113     All      -6.698556074398932e-05     6.1960971024695185e-06     -0.0003554254881996618     7.976666437493542e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3416.2522333433885    All      -0.0003110783330686378     0.00018768127468246745     0.0004415234845750961      0.0001821655782208122     
Lambda        AB|SDSS|SDSS_u                           3414.118214498483     All      -6.415051480745091e-05     1.9944519232410398e-05     -0.00010663247454146921    2.2634001637680792e-05    
Lambda        AB|SDSS|SDSS_g                           4489.386718412192     All      1.1424766610873307e-05     -4.8495730467541236e-06    3.347699718246372e-05      -3.807163206394105e-06    
Lambda        AB|SDSS|SDSS_r                           5866.286368649803     All      -3.2604081683901694e-06    -1.1298884076022011e-07    -3.993809839409136e-06     8.469926318015953e-07     
MWEBV         All|All|All                              All                   All      -0.9804930784948125        -3.7407434095632297        0.1721704189233897         -0.8914211673211443       
Redshift      All|All|All                              All                   All      6.074245101832945          -0.029998183866908334      -1.129883600588648         -2.0387743775180778       
