#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I        8161.880164559485     All      0.04427431006068895        -0.008994369823467352      0.01357587887291234        -0.01674553240344212       
Zeropoint     AB|PS|PS_z                            8577.835641801294     All      0.03698012284723236        -0.008833808625752226      0.009620764311984997       -0.014493774189655584      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B        4293.76804437775      All      -0.1252719069253766        0.08215731297394058        -0.040358267671536385      0.06576551701248101        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R        6316.348785074989     All      0.17632980403479498        -0.024245019808777357      -0.02405640432278644       -0.06640734567941176       
Zeropoint     AB|PS|PS_g                            4852.473375531013     All      -0.0879009304319806        0.132073320507331          0.004767204734867914       0.0718655889211689         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V        5345.222348736963     All      0.1159651117708172         0.10113109137757093        -0.07141181112444994       -0.008018709614754371      
Zeropoint     AB|PS|PS_r                            6162.3117723205805    All      0.17658547781084533        -0.0245205227186851        -0.04478072052194748       -0.06750519844984926       
Zeropoint     AB|CNIa02|SDSS_r                      6125.718754644025     All      0.2142862924894872         -0.025012932908996532      -0.0010445010409476652     -0.0779942417071966        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6165.31812965394      All      0.38235433078828623        -0.0371719513137414        0.15054636831464685        -0.12993531910192868       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R        6318.673907192829     All      0.28185313071365314        -0.039759020646190635      0.0005735275203810897      -0.10473406452428391       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4343.8322726632905    All      -0.2839990033114076        0.19040822958311665        -0.03999776070187644       0.15274512693106423        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5443.623389846508     All      0.21572318671548849        0.0833230121562778         0.10753863864065849        -0.038328137154866604      
Zeropoint     AB|CNIa02|SDSS_i                      7428.50465660312      All      0.09178334885904697        -0.018727170324073228      0.028419984318733826       -0.03472865841415429       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4677.003866017723     All      -0.28151573842694166       0.25434714252354773        -0.049225997719881676      0.17235143949930476        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4342.649629327398     All      -0.17052412354119717       0.11736255128971251        -0.04714664827705772       0.09167022280682502        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5432.883157244786     All      0.09257590550812206        0.05294768348065304        -0.04537684774599815       -0.01493317595070709       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B        4419.703212404376     All      -0.23082632954237992       0.17543723455779592        -0.04326665015977893       0.13040261662159158        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7481.468369694714     All      0.15212025515448774        -0.02206640077435651       0.12382578981306458        -0.051212548118714785      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V        5299.844799475674     All      0.04218663201724783        0.05515035564318538        -0.02378665934507085       0.00316122192041135        
Zeropoint     AB|PS|PS_i                            7463.894169435167     All      0.0500047486313871         -0.011815299469475349      0.010687773258771793       -0.019659877252251046      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I        7828.980547328948     All      0.09233069000855312        -0.021354151564345614      0.01835773070646418        -0.03621167181306617       
Check         All|All|All                           All                   All      0.9853153152308549         1.0018372861152702         0.03746139186115438        0.007053479338564594       
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I        8161.880164559485     All      5.049020790078214e-07      -3.6789244989644396e-07    1.7368484924423473e-06     -2.067903209901185e-07     
Lambda        AB|PS|PS_z                            8577.835641801294     All      1.6451127572118168e-05     -5.695703373507869e-06     1.0147856317164754e-06     -7.168666226084978e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B        4293.76804437775      All      -0.00010987592240622253    6.549891942255479e-05      -5.7054609441571955e-05    5.4579270467518553e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R        6316.348785074989     All      -8.21981322061063e-06      -1.008005513554478e-05     -7.143655506519609e-05     -3.793827348164825e-06     
Lambda        AB|PS|PS_g                            4852.473375531013     All      -3.108995798097117e-05     5.4360020331835216e-05     1.529801178172467e-05      2.851654916185755e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V        5345.222348736963     All      4.7325767685253635e-05     2.743687231496274e-05      -0.00023795129100684652    -1.7097140794211358e-05    
Lambda        AB|PS|PS_r                            6162.3117723205805    All      2.531275956637199e-05      -8.728497096485507e-06     -3.08028765328776e-05      -1.2462948126339326e-05    
Lambda        AB|CNIa02|SDSS_r                      6125.718754644025     All      5.816674235070057e-05      -1.861373508035009e-05     -6.414685902775647e-05     -2.7872507204512477e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6165.31812965394      All      -1.417942103309685e-05     -1.626803967465359e-05     -0.00018536306886638186    -8.952234226791877e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R        6318.673907192829     All      -3.095608123474632e-05     -1.9189704408419237e-05    -0.00019312310129608514    -4.785500993888138e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4343.8322726632905    All      -0.0002761573631670832     0.00014066627877214774     -0.0002745356069892391     0.00012352191002661407     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5443.623389846508     All      3.5636950533782045e-05     3.0293977157211025e-06     -0.00036955906330979576    -2.711307638159706e-05     
Lambda        AB|CNIa02|SDSS_i                      7428.50465660312      All      8.057104719470296e-07      -6.316665324394222e-06     -3.933817317802187e-05     -4.075474111312785e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4677.003866017723     All      -0.00025079981505598853    9.304019902455372e-05      -0.00046521169624960445    9.123974322291415e-05      
