#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I        8161.880164559485     All      0.04509211462974218        -0.009491422833995955      0.006177535344669449       -0.01750397886694411       
Zeropoint     AB|PS|PS_z                            8577.835641801294     All      0.04278231570721903        -0.010059742337364952      0.0072782182993337925      -0.016887603302141774      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B        4293.76804437775      All      -0.13493270217013564       0.08492662663979189        -0.04753978525096011       0.06949393427705082        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R        6316.348785074989     All      0.1884918246261998         -0.025315445328377706      -0.045676699632346975      -0.07168240319355343       
Zeropoint     AB|PS|PS_g                            4852.473375531013     All      -0.07857885556265931       0.12987374080370984        0.029558836252532358       0.06921894362637332        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V        5345.222348736963     All      0.1235348241995425         0.10360449047546183        -0.037377389844823306      -0.008159946623068879      
Zeropoint     AB|PS|PS_r                            6162.3117723205805    All      0.19694403232830768        -0.02682741744077788       -0.06547830447663679       -0.07581171904963674       
Zeropoint     AB|CNIa02|SDSS_r                      6125.718754644025     All      0.19958946622722837        -0.020580024210747894      -0.005264058920877417      -0.07195135716942556       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6165.31812965394      All      0.3716465194929811         -0.03410200957798537       0.11592508889132053        -0.126992440355979         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R        6318.673907192829     All      0.2977299151592217         -0.03772337361249711       -0.017167963926567505      -0.1100342996187813        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4343.8322726632905    All      -0.3178182950811224        0.20057634892935994        -0.07465723676018117       0.1655265806431067         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5443.623389846508     All      0.21404564321039238        0.08490511374583676        0.11654805075642931        -0.03686431482440547       
Zeropoint     AB|CNIa02|SDSS_i                      7428.50465660312      All      0.08878063623017035        -0.01823142207086903       0.016201659984014603       -0.03413434230724084       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4677.003866017723     All      -0.2534226182711282        0.24453260473116245        0.044616254055503526       0.16419141687553573        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4342.649629327398     All      -0.1705982949072316        0.11656079310888856        -0.03629965131777465       0.09191727550019058        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5432.883157244786     All      0.08533569202138626        0.04773461441924809        -0.030698516673892222      -0.01361784181969427       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B        4419.703212404376     All      -0.23183973648744846       0.17640355666603824        -0.014763734761830166      0.13231943371046123        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7481.468369694714     All      0.13646850850787184        -0.024801669705798446      0.06330998203665013        -0.04970576894939714       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V        5299.844799475674     All      0.041229712997142384       0.0492057647058175         -0.033398989371212565      0.0011076189461951132      
Zeropoint     AB|PS|PS_i                            7463.894169435167     All      0.062342514714078714       -0.014814816745456483      0.004574388906528129       -0.024928547289687575      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I        7828.980547328948     All      0.08922284953697646        -0.020370934093261184      0.0042717715160613895      -0.03550767131353005       
Check         All|All|All                           All                   All      0.9960460671087349         0.9960053762681831         0.00013945510594033043     -7.031104572639835e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I        8161.880164559485     All      1.6184250412928624e-07     -5.416881710704845e-07     -8.498245335880808e-08     -2.3295546296740307e-07    
Lambda        AB|PS|PS_z                            8577.835641801294     All      2.2142295021858735e-05     -7.077495109069047e-06     4.598788023914327e-07      -9.497324669381158e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B        4293.76804437775      All      -0.00010404763385664096    5.424789789046675e-05      -7.089336266729194e-05     4.839841728393769e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R        6316.348785074989     All      -1.8959833762589493e-05    -6.57570328586523e-06      -6.518836778072412e-05     1.1248612673501812e-06     
Lambda        AB|PS|PS_g                            4852.473375531013     All      -2.4899425289895687e-05    3.674206936170889e-05      -4.415583989224759e-06     1.9881615519570288e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V        5345.222348736963     All      5.6523367505808575e-05     1.4798428682259037e-05     -0.0002484956999510409     -2.468040707388995e-05     
Lambda        AB|PS|PS_r                            6162.3117723205805    All      3.1616669343908306e-07     -4.255131458541999e-06     -4.852891773843893e-05     -3.654644912751536e-06     
Lambda        AB|CNIa02|SDSS_r                      6125.718754644025     All      2.1628029472264022e-05     -6.453861574767277e-06     -4.4490409600310845e-05    -1.113259842419345e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6165.31812965394      All      -1.4709610687750058e-05    -6.9794836554117185e-06    -0.00010124095579037985    -1.9999621859751474e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R        6318.673907192829     All      -4.906664928157091e-05     -1.1406149908824448e-05    -0.00016900263505044836    4.725452238057014e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4343.8322726632905    All      -0.0002651926084260651     0.00011287619176969814     -0.0003134847831321528     0.00010916006023018185     
