#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LCOGT
@BAND  LCOGT_g
@MAGSYS  Linear_AB11_off
57714.20124  15.735  0.021
57714.20308  15.723  0.022
57714.59087  15.73  0.022
57714.59272  15.736  0.022
57715.58082  15.759  0.022
57715.5827  15.767  0.023
57716.94167  15.804  0.022
57716.94353  15.814  0.022
57718.92546  15.907  0.022
57718.92734  15.899  0.022
57718.9616  15.919  0.022
57718.96346  15.916  0.022
57720.93711  16.043  0.023
57720.93896  16.034  0.022
57721.28932  16.056  0.022
57721.29117  16.043  0.022
57723.08112  16.2  0.022
57723.08298  16.215  0.023
57724.02782  16.3  0.023
57724.02968  16.305  0.023
57725.0813  16.412  0.023
57725.08315  16.405  0.023
57726.16677  16.513  0.022
57726.16861  16.51  0.022
57726.90912  16.552  0.023
57726.91097  16.571  0.024
57728.08007  16.663  0.022
57728.08192  16.658  0.022
57729.34102  16.734  0.023
57729.34286  16.727  0.023
57730.15421  16.792  0.023
57730.15698  16.781  0.024
57730.34002  16.81  0.025
57730.34186  16.788  0.025
57733.89296  17.078  0.028
57733.89575  17.106  0.028
57742.86737  17.675  0.029
57742.87016  17.647  0.031
57746.86063  17.9  0.036
57746.86464  17.903  0.036
57747.21918  17.872  0.023
57747.22316  17.885  0.023
57757.83054  18.228  0.031
57757.83447  18.242  0.033
57757.92297  18.251  0.028
57769.84064  18.45  0.039
57769.84457  18.441  0.036
57770.63772  18.472  0.036
57770.64165  18.472  0.034
57778.79887  18.637  0.04
57778.8028  18.65  0.039
57784.79909  18.671  0.034
57784.80303  18.649  0.033
57808.53142  19.125  0.043
57808.53535  19.112  0.042
57814.80244  19.174  0.031
57814.80639  19.202  0.031
57815.79985  19.209  0.036
57815.80381  19.2  0.034
57827.80319  19.362  0.046
57827.80714  19.476  0.051
57835.80728  19.469  0.044
57835.8124  19.528  0.047
