#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3762.5111645416578    All      -0.9604291583158935        0.4767497094755768        -0.028626686505273113     0.46685896147890815       
Zeropoint     AB|SDSS|SDSS_r            4916.477314355722     All      0.7142051927636615         0.42344913746958923       0.5997295245150358        -0.06794563857834279      
Zeropoint     AB|SDSS|SDSS_i            5962.088056374936     All      1.1247159667195505         0.08574840586668131       -0.7837143971054283       -0.3733994896600368       
Zeropoint     AB|SDSS|SDSS_z            7088.4257074024335    All      0.12015524238794359        0.012977714841611032      0.2215708577613107        -0.02502355701401726      
Check         All|All|All               All                   All      0.998647243555262          0.9989249676534584        0.008959298665645044      0.0004902762265113214     
Lambda        AB|SDSS|SDSS_g            3762.5111645416578    All      -0.0016301533279457089     0.0007339889502814907     -0.0008010509560255315    0.0007343316929158639     
Lambda        AB|SDSS|SDSS_r            4916.477314355722     All      -0.00021222410775578043    -4.942269769491165e-05    -0.00134945346172442      -7.190134917060841e-06    
Lambda        AB|SDSS|SDSS_i            5962.088056374936     All      -7.787697508588793e-05     -1.001513999898484e-05    5.813686594497901e-05     2.469921359002124e-05     
Lambda        AB|SDSS|SDSS_z            7088.4257074024335    All      -5.2573986863891956e-05    -5.482574171042624e-06    -7.641246161319717e-05    1.1929285163466229e-05    
MWEBV         All|All|All               All                   All      -0.5489951135512587        -3.0136455996718325       0.05428951816740524       -0.8003950560689379       
Redshift      All|All|All               All                   All      3.8703112632621997         -0.621895448652765        2.4954748171418517        -1.3518979354939842       
