#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3762.5111645416578    All      -1.0943932201236914        0.47181323014839904        -0.30032724033844616      0.49676274213215743        
Zeropoint     AB|SDSS|SDSS_r            4916.477314355722     All      0.7825356563794437         0.394186932468088          0.40724603414666655       -0.10832443558086721       
Zeropoint     AB|SDSS|SDSS_i            5962.088056374936     All      1.1980554899973899         0.12135039405833936        -0.25633724637583805      -0.3621574262842151        
Zeropoint     AB|SDSS|SDSS_z            7088.4257074024335    All      0.11150443203790687        0.011529533215437482       0.15145504886220576       -0.025806370400113094      
Check         All|All|All               All                   All      0.9977023582910491         0.9988800898902639         0.0020365962945881055     0.0004745098669619967      
Lambda        AB|SDSS|SDSS_g            3762.5111645416578    All      -0.0016989360699790046     0.0005859160578104682      -0.0016929680865902545    0.0006687021172399376      
Lambda        AB|SDSS|SDSS_r            4916.477314355722     All      -0.00023803666617300728    -9.243315753974652e-05     -0.0015129968255051687    -2.0090246404217403e-05    
Lambda        AB|SDSS|SDSS_i            5962.088056374936     All      -0.00019759443002671155    -2.2631498702069905e-05    -6.12155847943457e-05     5.425941244554277e-05      
Lambda        AB|SDSS|SDSS_z            7088.4257074024335    All      -4.513316330801869e-05     -4.660764633482835e-06     -6.428243702332594e-05    1.0314561824866515e-05     
MWEBV         All|All|All               All                   All      -0.5515757620652568        -3.007414714836365         0.10385118722752282       -0.79531314010454          
Redshift      All|All|All               All                   All      4.923961167583816          0.11618556588430806        6.982740868881243         -1.2544430301833154        
