#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5251.408212588646    All      0.0385947577849054         0.5815668761497861         0.48491666603309724        0.19850348586691047        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6207.774697481511    All      1.174962505424496          -0.041770987573741536      0.34675599535067825        -0.3808560005326367        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5206.827085871965    All      -0.04144136889857458       -0.003841729273901251      -0.27032884340005836       0.00018390491168251977     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8018.630793994917    All      0.039167306116285716       -0.04621145771350754       -0.27575393441763296       -0.04011630385830911       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6205.490383642296    All      -0.04907358883549087       -0.07589528368878717       -0.9318036424031284        -0.050318825362385966      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7691.573906584959    All      0.672253883705046          -0.1224027061297761        0.5824417823549588         -0.23285409304631688       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4218.408010009914    All      -0.016237520492568665      0.004871475336187814       -0.040718202871481424      0.0050588280245483785      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4342.132886634555    All      -0.8392923350694704        0.7014967700019525         0.04204661346878247        0.5037620492236633         
Check         All|All|All                       All                  All      0.9789336397346283         0.9978129571082128         -0.06244356588478439       0.003363045227156025       
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5251.408212588646    All      -6.784658605865141e-05     0.00029220477087246206     -0.00029645618430707943    0.00010405109435864614     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6207.774697481511    All      -5.5457378924656336e-05    -4.1314793649285364e-06    4.592437625154305e-05      1.876792804761863e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5206.827085871965    All      -3.969120768834726e-05     5.016752010589431e-06      -0.0001710710275273505     6.9287390643940275e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8018.630793994917    All      1.3735086522989873e-05     -1.0518094122095019e-05    -4.721086367903879e-05     -1.0006862856388668e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6205.490383642296    All      -4.243278799053671e-06     9.918560616287751e-06      6.557588014954435e-05      7.539327360204885e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7691.573906584959    All      -0.00015421118668234983    2.663419638459099e-05      -0.00015815959833098353    5.184935442853292e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4218.408010009914    All      -1.598472378832617e-05     2.6635869557619426e-06     -4.466678631852171e-05     4.081094794283595e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4342.132886634555    All      -0.0005296032128622179     0.0003519193680145364      -0.0003439318492191929     0.0002717928070142426      
MWEBV         All|All|All                       All                  All      -0.7511594708898044        -4.014796635495177         0.007239921526069892       -1.0627509105395117        
Redshift      All|All|All                       All                  All      4.234408669512209          -1.3730015892375214        0.04840866979574088        -1.824357742992741         
