#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5251.408212588646    All      0.28212261961785534        0.5243704696532347        0.7480900644799858         0.11229191819841612        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6207.774697481511    All      1.1874462105740176         -0.013377968676131502     0.817466678873889          -0.35466815773434085       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5206.827085871965    All      -0.058039183085396705      0.008237839608860043      -0.3491255315512718        0.006008737743235345       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8018.630793994917    All      0.12960868413097995        -0.06426609197838218      -0.23940104862812983       -0.07383476214052637       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6205.490383642296    All      0.044968779268369286       -0.11086541707339137      -1.2542112282092395        -0.10673001127245163       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7691.573906584959    All      0.4363007226945501         -0.05491421833916377      0.48173631551488694        -0.13850718755966593       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4218.408010009914    All      -0.037148371444752505      0.014646939085594113      -0.06115670255735624       0.014142293902276486       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4342.132886634555    All      -0.9878817227877266        0.6944366735300633        -0.1383213123845277        0.5418138034270715         
Check         All|All|All                       All                  All      0.9973777389678966         0.9982682258106834        0.005077235538236774       0.0005166345640147396      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5251.408212588646    All      -8.82440817649046e-06      0.00012817541492197608    -0.0003921874386767694     2.7123825407084405e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6207.774697481511    All      -0.0003263518320523898     -5.943493930434029e-06    -0.0004640777339933956     8.365787901135523e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5206.827085871965    All      -6.799178993374105e-05     9.015856765216387e-06     -0.000417596185999074      6.448524174946026e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8018.630793994917    All      5.885729681354263e-06      -3.042642261312782e-06    -1.1694467604255489e-05    -3.4301348548697224e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6205.490383642296    All      -6.129960622018419e-06     1.1614126788800342e-05    0.00012850562948182068     1.1514449071605275e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7691.573906584959    All      -0.00010526709080072517    1.3538201267573268e-05    -0.00012021604096079464    3.33341024288826e-05       
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4218.408010009914    All      -3.7856929063306415e-05    1.5045900253509578e-05    -6.197517925203783e-05     1.4466524351559222e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4342.132886634555    All      -0.00041315449113636774    0.0001457015043206205     -0.0006069506267935759     0.0001549523646860809      
MWEBV         All|All|All                       All                  All      -0.7723237299797141        -3.9994291246332025       0.03959149987215834        -1.0494076088504896        
Redshift      All|All|All                       All                  All      5.141324305129851          -0.14064607851898003      1.4277238897794693         -1.656798765716301         
