#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                4662.269636368166    All      -0.9007778688986448        1.117281068283571          1.335779948285829         0.7169579120838353        
Zeropoint     AB|PS|PS_r                5920.765935738976    All      0.5214565656213882         0.06609170990916624        -4.145323309993631        -0.33331405510793144      
Zeropoint     AB|PS|PS_z                8241.607848935475    All      0.33248366616520664        -0.07303878296474053       0.4948646912492265        -0.1100084646347893       
Zeropoint     AB|PS|PS_i                7171.329848134386    All      1.0424509241554374         -0.11479816961799116       2.273541211539249         -0.2754963999324272       
Check         All|All|All               All                  All      0.9956132870433876         0.9955358256100055         -0.04113745891932652      -0.0018610075913126356    
Lambda        AB|PS|PS_g                4662.269636368166    All      -0.00010790137256461597    -5.5807791725526606e-05    -0.0007536248756230642    -1.66622238180034e-05     
Lambda        AB|PS|PS_r                5920.765935738976    All      -0.00017549298541079316    -1.9459321926381905e-05    -0.0010488679814605341    4.019136815738781e-06     
Lambda        AB|PS|PS_z                8241.607848935475    All      0.00020972540075393813     -4.268232465641695e-05     0.000342479307967298      -6.693422156965319e-05    
Lambda        AB|PS|PS_i                7171.329848134386    All      -0.0005794119536671814     3.1749836800998107e-05     -0.002089276020127962     0.00010584070870053702    
MWEBV         All|All|All               All                  All      -0.6290135072356349        -3.917698905974376         0.393956063929651         -1.0536525791467033       
Redshift      All|All|All               All                  All      8.436080172379533          0.06143084488448025        25.196101316834117        -1.6035125234816872       
