#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                4662.269636368166    All      -0.9475881620702793       1.1324570328178574         1.278090309418889         0.7345744518822556        
Zeropoint     AB|PS|PS_r                5920.765935738976    All      0.6864599039023298        0.019965828827750443       -3.6145626348776605       -0.37840037656443615      
Zeropoint     AB|PS|PS_z                8241.607848935475    All      0.2579323618390803        -0.04854992919911538       0.30631188616730975       -0.08616207251898184      
Zeropoint     AB|PS|PS_i                7171.329848134386    All      0.9951121707246382        -0.10571065311459904       1.9708903336846717        -0.2706224260991652       
Check         All|All|All               All                  All      0.991916274395769         0.9981622793318934         -0.059270105606790136     -0.0006104233003276227    
Lambda        AB|PS|PS_g                4662.269636368166    All      -7.196024994807833e-05    -0.0001654230489656269     -0.0013430136996397898    -9.03764416508794e-05     
Lambda        AB|PS|PS_r                5920.765935738976    All      -0.0002570130562168874    -1.5872840779898804e-05    -0.0007350598251539283    4.574495745631935e-05     
Lambda        AB|PS|PS_z                8241.607848935475    All      0.00018902744930682404    -3.691513325412217e-05     0.00016842104739234136    -6.608107461504738e-05    
Lambda        AB|PS|PS_i                7171.329848134386    All      -0.0006792676606335092    4.291595681859114e-05      -0.002517262615271955     0.00012290509418887374    
MWEBV         All|All|All               All                  All      -0.6518671726708654       -3.908227647132012         0.3248999193618207        -1.046204946419732        
Redshift      All|All|All               All                  All      9.815442028261364         0.4387925274603077         33.39791446160223         -1.5638876936682575       
