#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            5333.03865277211     All      0.9671618443266203        0.2692051438048182        0.3956710079143333        -0.20969047962134807      
Zeropoint     AB|SDSS|SDSS_r            4397.748457421879    All      0.7599441731968147        0.5708574498999752        0.061436454131613694      -0.058850139765735665     
Zeropoint     AB|SDSS|SDSS_g            3365.53524239418     All      -0.9300921567825399       0.11767347806035389       -0.5294027424141312       0.3176669247987485        
Zeropoint     AB|SDSS|SDSS_z            6340.53840322941     All      0.19952231352626212       0.04059756517857949       0.06896838505883185       -0.04868927674091944      
Check         All|All|All               All                  All      0.9965361742671575        0.9983336369437268        -0.0033268953093523734    0.0004370286707452986     
Lambda        AB|SDSS|SDSS_i            5333.03865277211     All      0.00035157075897820466    7.92606565987375e-05      0.0002414812915568082     -7.792415812253565e-05    
Lambda        AB|SDSS|SDSS_r            4397.748457421879    All      -0.0005994005932696534    -0.0002397807411556864    -0.0030669028095296784    -1.972176963895733e-05    
Lambda        AB|SDSS|SDSS_g            3365.53524239418     All      -0.0011251154868911462    0.00023446205344849856    0.0007137726748561114     0.00047471152990062935    
Lambda        AB|SDSS|SDSS_z            6340.53840322941     All      -9.252466249515518e-05    -2.819699418501487e-05    -0.0003931051296295435    3.41116141722894e-06      
MWEBV         All|All|All               All                  All      -0.7597349134525684       -2.5455829701179766       -0.09657572845307438      -0.5860191959164429       
Redshift      All|All|All               All                  All      2.5985721294031165        1.0579659320534063        -2.2083004138657936       -0.6003724280290959       
