#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            5333.03865277211     All      1.2033911526155119        0.2945075237219541        0.3418522112053551         -0.28079800519818376      
Zeropoint     AB|SDSS|SDSS_r            4397.748457421879    All      0.5685922371376569        0.5360001379706603        -0.08408022578239521       -0.014368433257063459     
Zeropoint     AB|SDSS|SDSS_g            3365.53524239418     All      -0.9249503189878046       0.1498139599284798        -0.14966589091091265       0.3434071830167718        
Zeropoint     AB|SDSS|SDSS_z            6340.53840322941     All      0.14898851183225809       0.018229085108600884      -0.10824942693173407       -0.04742332189358462      
Check         All|All|All               All                  All      0.9960215825976222        0.998550706729695         -0.00014333241968685073    0.0008174226679399862     
Lambda        AB|SDSS|SDSS_i            5333.03865277211     All      0.00027335371147988824    5.7950737486678645e-05    -0.00015430725457512393    -7.704985924104286e-05    
Lambda        AB|SDSS|SDSS_r            4397.748457421879    All      -0.0003029024364872025    -0.0001381902239647807    -0.0020450652077774133     -3.76096810889524e-05     
Lambda        AB|SDSS|SDSS_g            3365.53524239418     All      -0.0017629294827516597    0.00016554168004846652    -0.0013343298364241977     0.0005686214902964206     
Lambda        AB|SDSS|SDSS_z            6340.53840322941     All      -4.644089405470006e-05    -7.368365389804652e-06    -1.680496321234054e-05     1.197727970840546e-05     
MWEBV         All|All|All               All                  All      -0.671906130447899        -2.541965588393502        0.06935995330425068        -0.6060446724244042       
Redshift      All|All|All               All                  All      2.4878417459241424        0.755731444183283         -3.457755529030139         -0.718509058377195        
