#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|z           4826.628608684323    All      -0.0432476958322266       0.009411697516448214       -0.7629859899462493       -0.016895663607153534      
Zeropoint     AB|MEGACAMPSF|r           3423.991637367612    All      -2.099046920158103        -0.09669015714415252       -1.3988600951771428       0.5898087719787238         
Zeropoint     AB|MEGACAMPSF|i           4185.559032195477    All      3.1195056146403504        1.0843586538490158         2.001126294813102         -0.5736132437791334        
Check         All|All|All               All                  All      0.9772109986500204        0.9970801942213114         -0.16071979031028993      -0.000700135407563085      
Lambda        AB|MEGACAMPSF|z           4826.628608684323    All      -4.66286148628267e-05     1.3103766356428678e-05     -0.0009478140826962483    -2.2839787658023016e-05    
Lambda        AB|MEGACAMPSF|r           3423.991637367612    All      -0.0021189531560522347    -1.8867909990883998e-05    -0.004271667166618709     0.0004934419688060546      
Lambda        AB|MEGACAMPSF|i           4185.559032195477    All      -0.0003036480300267195    4.226493954902521e-05      -0.003311269842323089     -3.509153056108095e-05     
MWEBV         All|All|All               All                  All      -0.5849454651942785       -1.7874320006129096        -0.16910758377586543      -0.3992359199986726        
Redshift      All|All|All               All                  All      -0.8162873151813871       -1.2284508558423113        8.495837891483637         0.24487500015385483        
