#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|z           4826.628608684323    All      -0.0394456971752777        0.00673298984139592        -0.7637678980484593       -0.019041535835819325      
Zeropoint     AB|MEGACAMPSF|r           3423.991637367612    All      -2.017957816200242         -0.10876557565886458       -0.4594489008039226       0.6013836290329773         
Zeropoint     AB|MEGACAMPSF|i           4185.559032195477    All      3.0537946430727057         1.102182646988048          1.2146084833332225        -0.5815018351361584        
Check         All|All|All               All                  All      0.996391129697186          1.0001500611705794         -0.008608315519159415     0.0008402580609995214      
Lambda        AB|MEGACAMPSF|z           4826.628608684323    All      -3.6153502146286626e-05    6.400310593842616e-06      -0.000711597535845934     -1.7894152987219456e-05    
Lambda        AB|MEGACAMPSF|r           3423.991637367612    All      -0.0018579486472947487     -4.1343187363546994e-05    -0.00112899993947521      0.0005413460808544293      
Lambda        AB|MEGACAMPSF|i           4185.559032195477    All      -0.00020402250834851827    8.29491207484755e-06       -0.0018417770348258377    -1.3031281220773276e-05    
MWEBV         All|All|All               All                  All      -0.5807330936930066        -1.7875860466618931        -0.12332762477911814      -0.39861525653538293       
Redshift      All|All|All               All                  All      -1.2422602088944812        -1.091757679859029         1.5960748615852198        0.12024911565883631        
